Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,2.9,14.7,186.5,54,485,61,132
2,4.4,25.1,146.4,112,683,70,131
3,6.4,39.7,137.7,134,761,72,131
4,7.9,51.0,134.1,145,799,73,131
5,9.4,62.2,134.0,145,800,73,131
6,10.9,73.5,133.1,148,810,74,132
7,12.9,88.9,131.9,153,824,75,132
8,14.4,100.4,129.9,160,849,76,133
9,15.9,112.0,130.2,159,845,76,133
10,17.4,123.6,129.8,160,850,76,133
11,18.9,135.1,130.6,157,840,75,134
12,20.4,146.7,130.2,159,845,75,134
13,22.4,162.0,130.7,157,839,75,135
14,23.9,173.5,130.8,156,838,76,136
15,25.4,185.2,129.4,162,855,77,136
16,26.9,196.9,128.8,164,863,76,137
17,28.4,208.3,131.6,154,828,74,137
18,30.4,223.1,134.3,144,797,73,137
19,31.9,234.3,135.0,142,789,73,137
20,33.4,245.4,135.8,140,780,73,137
21,34.9,256.7,133.5,147,806,75,137
22,36.9,272.1,131.2,155,833,75,137
23,38.4,284.0,127.6,168,879,78,137
24,39.9,295.9,125.5,177,909,79,137
25,41.4,308.1,124.4,182,925,80,137
26,42.9,320.3,122.9,189,948,81,137
27,44.4,332.8,122.0,193,963,81,137
28,45.9,345.2,120.7,199,985,81,137
29,47.4,357.3,123.3,187,942,79,137
30,48.9,369.0,127.2,170,885,77,137
31,50.4,380.4,130.8,156,838,75,137
32,51.9,392.0,131.4,154,830,75,137
33,53.4,403.4,130.9,156,837,75,137
34,54.9,415.0,130.8,156,838,76,137
35,56.9,430.2,131.0,156,835,75,138
36,58.4,441.8,131.1,155,834,76,138
37,59.9,453.5,129.0,163,861,77,138
38,61.4,465.0,129.9,160,849,75,139
39,62.9,476.6,130.5,157,841,76,139
40,64.4,488.0,131.0,156,835,75,140
41,66.4,503.4,131.1,155,834,76,141
42,67.9,514.8,130.6,157,840,76,141
43,69.4,526.5,129.8,160,850,76,141
44,70.9,538.1,129.9,160,849,77,141
45,72.4,549.8,128.8,164,863,77,142
46,73.9,561.5,129.0,163,861,76,142
47,75.9,576.6,132.3,151,820,74,142
48,77.4,587.9,133.7,146,804,74,142
49,78.9,599.2,133.5,147,806,75,142
50,80.4,610.6,131.9,153,824,76,143
51,82.4,626.0,130.6,157,840,76,143
52,83.9,637.4,130.8,156,838,75,143
53,85.4,649.5,126.5,173,895,79,144
54,86.9,661.4,125.3,178,912,78,144
55,88.4,673.4,127.0,171,888,78,144
56,89.9,685.2,126.2,174,899,79,145
57,91.4,697.1,126.8,172,890,78,146
58,92.9,708.9,127.0,171,888,78,146
59,94.4,720.8,127.5,169,881,77,146
60,95.9,732.7,126.7,172,892,78,146
61,97.4,744.5,127.3,170,883,77,147
62,99.4,760.1,127.9,167,875,77,148
63,100.9,771.8,128.7,164,865,76,148
64,102.4,783.6,128.4,165,869,78,148
65,103.9,795.5,126.6,172,893,78,148
66,105.4,807.3,127.4,169,882,77,148
67,106.9,819.1,127.2,170,885,79,148
68,108.4,831.0,125.9,175,903,79,148
69,109.9,843.3,124.2,183,928,82,148
70,111.4,855.7,121.2,197,976,82,148
71,112.9,868.4,119.4,206,1007,83,148
72,114.4,881.2,118.1,212,1031,86,148
73,2.2,22.1,102.8,322,1408,99,149
74,3.2,32.3,98.6,365,1556,101,149
75,4.7,48.0,96.9,385,1623,103,149
76,5.7,58.6,95.8,398,1670,103,150
77,6.7,69.4,94.5,415,1727,106,150
78,7.7,80.1,93.5,428,1773,106,151
79,9.2,96.0,93.9,423,1754,105,152
80,10.2,106.4,95.2,406,1696,103,152
81,11.2,116.8,96.3,392,1648,103,153
82,12.7,132.8,96.2,393,1653,104,153
83,13.7,143.5,93.9,423,1754,106,154
84,14.7,154.3,93.6,427,1768,106,154
85,15.7,165.1,93.1,434,1792,106,155
86,17.2,181.0,93.9,423,1754,105,156
87,18.2,191.5,94.9,410,1709,104,157
88,19.2,201.9,96.3,392,1648,102,158
89,20.7,217.8,95.7,399,1674,104,158
90,21.7,228.3,95.2,406,1696,103,159
91,22.7,238.9,95.2,406,1696,104,159
92,24.2,255.0,93.9,423,1754,105,160
93,25.2,265.6,94.2,419,1741,104,161
94,26.2,276.1,95.2,406,1696,104,161
95,27.7,292.1,94.6,413,1722,104,162
96,28.7,302.8,93.9,423,1754,105,162
97,29.7,313.3,94.6,413,1722,104,163
98,30.7,323.9,95.3,404,1691,103,163
99,32.2,339.5,96.0,396,1661,103,164
100,33.2,349.9,96.0,396,1661,103,164
101,34.2,360.3,96.2,393,1653,102,165
102,35.7,376.0,96.8,386,1628,104,165
103,36.7,386.4,95.9,397,1665,103,166
104,38.2,401.5,97.6,376,1595,100,167
105,39.2,411.4,100.3,347,1493,99,167
106,40.2,421.4,100.8,342,1476,99,167
107,41.7,436.7,99.9,351,1508,101,168
108,42.7,446.6,98.8,363,1548,99,168
109,44.2,461.1,101.3,337,1458,97,169
110,45.7,470.0,106.1,293,1308,90,169
111,2.6,23.7,120.3,201,991,91,153
112,3.6,33.7,102.3,327,1425,98,153
113,4.6,43.8,100.4,346,1490,98,153
114,6.0,58.8,100.0,350,1504,99,153
115,7.0,68.7,100.3,347,1493,98,154
116,8.6,83.3,101.9,331,1438,96,154
117,9.6,92.9,104.2,309,1364,95,154
118,11.1,107.5,104.1,310,1367,95,155
119,12.0,117.3,102.5,325,1418,97,155
120,13.6,132.2,101.8,332,1441,97,155
121,14.6,142.1,101.5,335,1451,98,156
122,16.1,156.9,102.0,330,1435,96,156
123,17.0,167.2,100.2,348,1497,101,157
124,18.1,177.6,97.2,381,1611,102,157
125,19.5,193.0,97.4,379,1603,102,158
126,20.6,203.3,97.6,376,1595,101,158
127,22.0,218.8,97.6,376,1595,103,159
128,23.0,229.2,96.8,386,1628,102,159
129,24.1,239.6,96.8,386,1628,102,160
130,25.6,255.2,96.8,386,1628,102,160
131,26.5,265.5,96.7,387,1632,103,160
132,27.5,275.7,97.4,379,1603,100,161
133,29.1,290.9,98.7,364,1552,100,162
134,30.1,301.1,99.5,355,1522,99,162
135,31.6,316.5,98.5,366,1560,101,163
136,32.5,326.6,98.1,371,1575,100,163
137,33.5,336.9,98.2,370,1572,100,164
138,35.1,352.4,97.0,383,1619,102,164
139,36.1,362.5,98.5,366,1560,99,165
140,37.5,377.6,100.3,347,1493,98,165
141,38.6,388.0,98.5,366,1560,102,166
142,39.6,398.1,97.4,379,1603,100,166
143,41.0,413.0,100.0,350,1504,97,167
144,42.1,423.0,101.0,340,1469,98,168
145,43.5,437.5,100.7,343,1479,96,168
146,44.5,446.5,105.3,300,1331,91,169
147,1.9,15.4,153.4,97,633,85,152
148,2.9,25.8,99.4,356,1526,96,152
149,4.5,42.1,93.0,435,1797,99,152
150,5.5,53.0,92.6,441,1817,99,152
151,6.5,63.9,91.7,454,1862,101,152
152,8.0,80.5,91.2,461,1887,102,152
153,8.9,91.6,90.1,479,1946,102,153
154,10.4,108.6,89.1,495,2002,104,153
155,11.4,119.9,88.6,503,2031,103,153
156,12.4,131.0,90.5,472,1925,101,154
157,14.0,147.4,91.9,451,1851,100,155
158,14.9,158.4,91.3,460,1882,101,155
159,16.0,169.6,90.3,475,1935,102,156
160,17.5,186.2,90.5,472,1925,100,156
161,18.5,197.3,90.9,466,1903,100,157
162,19.9,213.6,91.9,451,1851,99,158
163,20.9,224.6,91.7,454,1862,99,159
164,22.0,235.6,92.0,449,1846,99,160
165,23.4,251.9,92.3,445,1831,99,160
166,24.4,262.7,92.1,448,1841,98,161
167,25.9,278.9,93.0,435,1797,97,162
168,26.9,289.6,94.1,420,1745,97,163
169,28.4,305.6,93.8,424,1759,97,164
170,29.4,316.2,94.8,411,1713,96,164
171,30.9,331.9,95.7,399,1674,96,166
172,32.0,342.5,95.3,404,1691,96,166
173,33.4,358.0,96.9,385,1623,95,167
174,34.4,368.4,96.7,387,1632,96,167
175,35.9,384.3,94.5,415,1727,97,169
176,36.9,394.6,97.2,381,1611,93,169
177,38.4,409.5,100.1,349,1500,91,170
178,39.4,419.1,103.2,318,1395,88,170
179,40.9,433.8,102.9,321,1405,89,171
180,42.4,448.3,103.7,314,1380,87,171
181,43.9,462.0,107.9,279,1258,82,172
182,46.1,474.9,165.3,77,566,77,173
183,1.9,16.7,126.9,171,889,90,157
184,2.9,26.7,103.1,319,1399,97,157
185,4.4,42.2,97.5,378,1599,100,157
186,5.4,52.6,97.0,383,1619,99,157
187,6.4,62.8,97.4,379,1603,99,157
188,7.9,78.1,98.2,370,1572,98,158
189,8.9,88.3,99.6,354,1519,97,158
190,10.4,103.5,99.1,360,1537,98,158
191,11.4,113.5,99.5,355,1522,98,159
192,12.9,128.9,98.8,363,1548,100,160
193,13.9,139.6,95.2,406,1696,104,160
194,14.9,150.5,92.6,441,1817,105,160
195,16.4,166.6,92.9,437,1802,104,161
196,17.4,177.2,94.1,420,1745,102,161
197,18.4,187.9,94.4,416,1731,103,162
198,19.9,203.7,94.7,412,1718,101,163
199,20.9,214.1,96.3,392,1648,100,163
200,21.9,224.6,96.4,391,1644,99,164
201,23.4,240.1,97.1,382,1615,98,164
202,24.4,250.4,97.9,373,1583,98,165
203,25.9,265.8,98.0,372,1579,100,166
204,26.9,276.2,96.4,391,1644,100,166
205,27.9,286.6,96.3,392,1648,100,167
206,29.4,302.3,96.4,391,1644,101,167
207,30.4,312.8,95.6,401,1678,100,168
208,31.9,328.1,98.2,370,1572,98,169
209,32.9,338.1,98.9,362,1545,97,169
210,34.4,353.1,100.6,344,1483,95,170
211,35.4,363.1,101.4,336,1455,96,170
212,36.9,378.1,100.6,344,1483,97,171
213,37.9,388.1,99.7,353,1515,96,171
214,39.4,402.4,103.7,314,1380,91,171
215,40.4,411.8,107.1,285,1280,92,172
216,41.9,425.9,106.6,289,1294,89,173
217,43.4,439.3,110.4,260,1195,85,173
218,44.9,451.4,120.7,199,985,75,173
