Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.8,13.4,255.2,21,372,53,74
2,5.8,24.6,182.9,57,496,63,76
3,7.8,36.9,164.2,79,572,66,77
4,9.3,46.6,158.2,88,604,69,77
5,11.3,60.1,150.5,103,653,73,79
6,12.8,70.3,147.0,110,679,72,80
7,14.3,80.1,151.1,101,649,70,83
8,16.3,95.8,130.2,159,845,70,85
9,17.8,107.6,127.3,170,883,70,87
10,19.8,123.8,124.3,182,927,73,89
11,21.3,136.3,121.8,194,966,75,89
12,22.8,149.1,117.3,217,1046,77,89
13,24.3,162.2,115.5,227,1081,78,92
14,25.8,175.3,114.7,232,1098,77,93
15,27.3,188.1,116.9,219,1054,75,95
16,29.3,205.3,117.5,216,1042,76,97
17,30.8,218.2,116.5,221,1061,77,99
18,32.3,231.6,113.4,240,1126,79,100
19,33.8,245.0,112.4,246,1148,79,102
20,35.3,258.4,113.1,242,1132,78,103
21,36.8,271.7,112.7,245,1141,79,105
22,38.3,284.7,114.8,231,1096,77,106
23,39.8,297.9,115.0,230,1092,77,106
24,41.3,310.9,115.9,225,1073,76,108
25,42.8,323.8,116.3,222,1065,77,110
26,44.3,336.8,115.6,227,1079,77,110
27,46.3,354.1,116.1,224,1069,77,111
28,47.8,367.2,115.2,229,1087,77,111
29,49.3,380.3,115.6,227,1079,77,112
30,50.8,393.2,116.1,224,1069,77,113
31,52.3,406.2,115.9,225,1073,77,113
32,53.8,419.1,116.1,224,1069,77,114
33,55.3,432.1,116.8,220,1055,76,114
34,56.8,444.7,118.0,213,1033,76,114
35,58.8,461.9,117.6,215,1040,76,115
36,60.3,474.9,116.6,221,1059,76,116
37,61.8,487.7,116.9,219,1054,76,116
38,63.3,500.5,117.5,216,1042,76,117
39,64.8,513.1,118.1,212,1031,76,118
40,66.3,525.8,118.5,210,1023,75,118
41,68.3,542.7,119.3,206,1009,74,119
42,69.8,555.2,120.1,202,995,75,120
43,71.3,567.9,119.4,206,1007,74,121
44,72.8,580.6,118.5,210,1023,76,121
45,74.8,597.4,122.4,191,956,71,123
46,76.3,611.9,106.5,290,1297,75,124
47,77.8,627.2,98.8,363,1548,76,125
48,79.3,642.4,98.9,362,1545,75,125
49,80.8,657.1,102.1,329,1431,73,125
50,82.8,676.1,105.5,298,1325,70,126
51,84.3,690.3,105.1,301,1337,74,126
52,85.8,704.1,109.9,264,1207,74,127
53,87.3,717.7,110.4,260,1195,73,128
54,89.3,735.8,111.2,255,1176,74,129
55,90.8,749.5,109.1,270,1227,75,129
56,92.3,763.4,108.7,273,1237,75,130
57,93.8,777.4,108.1,277,1253,76,131
58,95.8,795.8,109.3,268,1222,74,133
59,97.3,809.4,110.1,262,1202,74,134
60,98.8,823.0,110.7,258,1187,73,135
61,100.8,840.6,113.9,237,1115,72,136
62,102.3,853.7,114.5,233,1102,71,137
63,103.8,866.7,115.4,228,1083,70,137
64,105.8,883.7,118.0,213,1033,68,138
65,107.3,896.4,118.7,209,1020,71,138
66,109.3,913.2,117.2,217,1048,66,139
67,110.8,925.4,124.5,181,924,65,140
68,112.8,941.2,126.7,172,892,63,140
69,2.8,26.1,113.7,238,1119,82,142
70,3.8,37.5,92.5,442,1821,92,142
71,5.3,54.8,87.3,526,2110,94,142
72,6.8,72.3,86.9,533,2135,93,142
73,7.8,83.9,86.5,541,2161,93,142
74,9.3,100.9,87.4,524,2104,91,143
75,10.3,112.5,88.2,510,2055,92,143
76,11.8,130.1,86.1,548,2187,95,143
77,12.8,141.5,85.8,554,2207,93,144
78,14.3,158.4,88.6,503,2031,91,145
79,15.8,175.4,90.0,480,1952,91,146
80,16.8,186.9,87.8,517,2079,94,146
81,18.3,204.4,86.6,539,2154,94,147
82,19.3,215.8,87.1,530,2122,93,147
83,20.8,233.0,87.5,522,2098,93,149
84,22.3,250.3,87.6,521,2091,93,149
85,23.3,261.7,87.5,522,2098,92,151
86,24.8,278.7,87.9,515,2073,92,151
87,25.8,289.9,89.2,493,1997,90,152
88,27.3,306.9,89.8,483,1963,90,153
89,28.8,323.5,89.0,496,2008,90,154
90,29.8,334.4,91.0,464,1898,88,155
91,31.3,350.7,92.4,444,1826,88,155
92,32.8,367.1,91.6,455,1867,89,156
93,34.3,383.5,91.7,454,1862,89,157
94,35.3,394.2,92.9,437,1802,87,157
95,36.8,410.1,94.7,412,1718,86,158
96,38.3,425.8,94.4,416,1731,86,158
97,39.8,441.3,95.9,397,1665,84,159
98,41.3,456.7,97.8,374,1587,83,159
99,42.8,471.9,98.3,368,1568,83,160
100,44.3,486.2,99.5,355,1522,80,160
101,2.8,19.6,139.1,130,747,77,129
102,3.8,30.5,93.9,423,1754,92,129
103,5.3,48.5,84.7,576,2282,97,128
104,6.3,60.5,83.2,608,2391,97,128
105,7.8,78.3,84.5,580,2296,95,128
106,8.8,90.2,85.2,566,2247,97,129
107,10.3,108.5,82.4,626,2453,100,130
108,11.3,120.9,81.3,651,2541,101,130
109,12.8,139.3,81.6,644,2516,99,131
110,13.8,151.5,82.8,617,2421,98,132
111,15.3,169.6,83.2,608,2391,98,134
112,16.3,181.6,83.2,608,2391,98,135
113,17.8,199.4,84.8,574,2275,94,136
114,18.8,210.8,86.6,539,2154,93,137
115,20.3,228.1,87.3,526,2110,92,139
116,21.3,239.4,88.5,505,2037,92,140
117,22.8,256.5,88.2,510,2055,91,141
118,23.8,267.9,87.5,522,2098,93,142
119,25.3,285.1,87.6,521,2091,92,145
120,26.8,302.2,88.2,510,2055,92,147
121,27.8,313.5,88.8,500,2020,91,148
122,29.3,330.4,89.5,488,1980,90,149
123,30.8,347.0,90.0,480,1952,90,151
124,31.8,358.2,90.9,466,1903,89,151
125,33.3,374.5,91.0,464,1898,89,154
126,34.8,390.6,93.3,431,1783,86,154
127,35.8,401.4,94.0,421,1750,87,155
128,37.3,417.5,94.1,420,1745,87,157
129,38.8,433.5,93.3,431,1783,87,159
130,40.3,449.1,94.7,412,1718,84,159
131,41.8,464.7,97.0,383,1619,82,161
132,43.3,480.0,98.7,364,1552,82,162
133,44.8,494.2,101.8,332,1441,76,163
134,2.2,17.2,115.3,228,1085,80,138
135,3.6,33.5,93.5,428,1773,92,138
136,4.7,45.2,87.6,521,2091,94,138
137,6.2,62.8,85.7,556,2213,96,138
