Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.5,5.3,0.0,,,,114
2,2.8,12.1,0.0,,,46,113
3,3.6,16.9,199.8,44,451,58,113
4,4.6,23.8,199.8,44,451,58,113
5,5.3,29.3,149.6,105,659,70,113
6,6.3,36.7,135.8,140,780,73,113
7,7.0,42.4,135.8,140,780,73,114
8,7.8,48.4,135.8,140,780,73,115
9,8.6,54.4,130.3,158,844,77,115
10,9.3,60.5,130.3,158,844,77,115
11,10.1,66.6,123.6,185,937,80,115
12,10.8,72.9,123.6,185,937,80,117
13,11.6,79.1,121.6,195,969,80,117
14,12.3,85.3,121.6,195,969,80,118
15,13.1,91.3,121.8,194,966,80,119
16,13.8,97.5,121.8,194,966,80,120
17,14.6,103.7,122.6,190,953,79,120
18,15.3,109.8,122.6,190,953,79,120
19,16.1,115.9,123.1,188,945,80,121
20,16.8,122.5,123.1,188,945,80,122
21,17.6,128.8,119.1,207,1013,83,122
22,18.1,133.1,119.1,207,1013,83,123
23,18.8,139.6,117.0,219,1052,84,124
24,19.6,146.1,117.0,219,1052,84,124
25,20.3,152.6,116.0,224,1071,84,125
26,21.0,158.9,116.0,224,1071,84,125
27,21.8,165.4,116.6,221,1059,83,127
28,22.6,171.8,117.6,215,1040,83,127
29,23.1,176.0,117.6,215,1040,83,128
30,23.8,182.4,117.6,215,1040,83,128
31,24.6,188.8,118.5,210,1023,82,128
32,25.3,195.0,118.5,210,1023,82,129
33,26.1,201.1,119.7,204,1002,82,129
34,26.8,207.5,119.7,204,1002,82,129
35,27.6,213.8,120.2,202,993,81,129
36,28.3,220.0,120.2,202,993,81,129
37,29.1,226.2,120.2,202,993,81,130
38,29.8,232.4,120.2,202,993,81,130
39,30.6,238.7,121.3,196,974,81,130
40,31.3,244.8,121.3,196,974,81,130
41,32.0,251.0,121.9,193,964,81,131
42,32.8,257.3,121.9,193,964,81,131
43,33.6,263.7,120.1,202,995,82,131
44,34.0,267.8,120.1,202,995,82,132
45,34.8,274.2,118.4,211,1025,83,132
46,35.5,280.5,118.4,211,1025,83,132
47,36.3,286.7,120.1,202,995,81,132
48,37.0,292.9,120.1,202,995,81,133
49,37.8,299.1,121.3,196,974,81,133
50,38.6,305.4,121.3,196,974,81,133
51,39.3,311.6,120.9,198,981,81,134
52,40.0,317.8,120.9,198,981,81,135
53,40.8,324.0,120.6,200,986,81,135
54,41.6,330.3,120.6,200,986,81,135
55,42.3,336.4,121.3,196,974,81,136
56,43.1,342.5,121.3,196,974,81,136
57,43.8,348.8,121.7,194,968,81,137
58,44.6,355.1,121.7,194,968,81,137
59,45.3,361.2,121.4,196,973,80,137
60,46.0,367.3,121.4,196,973,80,137
61,46.8,373.7,120.8,199,983,81,138
62,47.6,380.0,120.8,199,983,81,138
63,48.3,386.2,120.7,199,985,81,138
64,49.1,392.4,120.8,199,983,81,138
65,49.8,398.6,120.8,199,983,81,139
66,50.3,402.8,120.8,199,983,81,139
67,51.0,409.0,120.6,200,986,81,139
68,51.8,415.4,120.6,200,986,81,139
69,52.6,421.6,120.3,201,991,81,139
70,53.3,427.7,120.3,201,991,81,140
71,54.0,433.7,121.4,196,973,80,140
72,54.8,439.9,121.4,196,973,80,140
73,55.6,445.9,124.1,183,930,78,140
74,56.3,451.9,124.1,183,930,78,140
75,57.3,459.8,126.0,175,902,77,140
76,58.1,465.7,126.0,175,902,77,140
77,58.8,471.7,126.8,172,890,77,140
78,59.6,477.6,126.8,172,890,77,140
79,60.3,483.7,127.3,170,883,77,141
80,61.0,489.7,127.3,170,883,77,141
81,61.8,495.8,123.1,188,945,79,141
82,62.6,501.8,123.1,188,945,79,141
83,63.3,507.8,124.7,180,921,78,141
84,64.0,513.8,124.7,180,921,78,141
85,64.8,520.1,124.1,183,930,80,142
86,65.6,526.4,124.1,183,930,80,142
87,66.3,532.6,121.4,196,973,81,142
88,67.1,538.9,121.4,196,973,81,142
89,67.8,545.3,119.8,204,1000,82,143
90,68.6,551.5,119.8,204,1000,82,143
91,69.3,557.8,119.9,203,998,81,143
92,70.0,563.8,119.9,203,998,81,143
93,70.8,570.2,120.8,199,983,81,143
94,71.6,576.3,121.2,197,976,80,143
95,72.3,582.6,121.2,197,976,80,144
96,73.0,588.6,121.9,193,964,80,144
97,73.8,594.8,121.9,193,964,80,144
98,74.6,600.9,122.6,190,953,80,144
99,75.3,607.1,122.6,190,953,80,144
100,75.8,611.3,122.6,190,953,80,145
101,76.8,619.5,122.1,192,961,80,145
102,77.3,623.7,122.1,192,961,80,145
103,78.0,629.7,121.6,195,969,80,145
104,78.8,635.9,121.6,195,969,80,145
105,79.6,642.1,122.6,190,953,79,145
106,80.3,648.2,122.6,190,953,79,145
107,81.1,654.2,123.0,188,947,79,145
108,81.8,660.3,123.0,188,947,79,145
109,82.6,666.6,123.1,188,945,80,145
110,83.3,672.7,123.1,188,945,80,145
111,84.1,678.9,121.9,193,964,81,146
112,84.8,685.1,121.9,193,964,81,146
113,85.6,691.4,121.3,196,974,81,146
114,86.3,697.5,121.3,196,974,81,146
115,87.0,703.6,121.1,197,978,81,146
116,87.8,709.9,121.1,197,978,81,146
117,88.6,716.2,121.3,196,974,81,146
118,89.3,722.3,121.3,196,974,81,146
119,90.0,728.3,121.9,193,964,80,146
120,91.3,734.5,121.9,193,964,80,146
121,92.1,740.5,164.2,79,572,79,146
122,92.8,746.7,164.2,79,572,79,146
123,93.5,752.6,124.5,181,924,79,146
124,94.3,758.7,124.5,181,924,79,146
125,95.3,766.7,124.6,181,922,79,146
126,96.1,772.9,124.6,181,922,79,146
127,96.8,778.9,124.6,181,922,79,147
128,97.6,784.7,124.6,181,922,79,147
129,98.3,790.7,125.4,177,910,79,147
130,99.1,796.9,125.4,177,910,79,147
131,99.8,802.9,125.1,179,915,79,147
132,100.5,808.8,125.1,179,915,79,147
133,101.3,814.9,124.8,180,919,79,147
134,102.1,820.9,124.8,180,919,79,147
135,102.8,826.9,125.2,178,913,79,147
136,103.5,832.8,125.2,178,913,79,147
137,104.3,838.9,125.5,177,909,78,147
138,105.1,844.9,125.5,177,909,78,147
139,105.8,850.9,125.1,179,915,79,147
140,106.5,856.8,125.1,179,915,79,147
141,107.3,862.9,124.5,181,924,79,148
142,108.1,869.0,124.5,181,924,79,148
143,108.8,875.0,124.5,181,924,80,148
144,109.8,883.1,125.2,178,913,78,149
145,110.5,889.0,125.2,178,913,78,149
146,111.3,895.0,125.2,178,913,78,150
147,112.0,901.0,125.4,177,910,79,150
148,112.8,907.1,125.4,177,910,79,150
149,113.5,913.0,124.6,181,922,79,151
150,114.3,919.1,124.6,181,922,79,151
151,115.0,924.9,125.3,178,912,77,151
152,115.8,930.6,125.3,178,912,77,151
153,116.8,938.3,129.8,160,850,75,152
154,117.5,943.9,129.8,160,850,75,152
155,118.3,949.6,131.5,154,829,75,152
156,119.0,955.4,131.5,154,829,75,152
157,119.8,961.0,132.2,151,821,74,152
158,120.8,968.7,132.2,151,821,74,152
159,121.5,974.2,132.1,152,822,74,153
160,122.3,980.0,132.1,152,822,74,153
161,123.0,985.8,131.5,154,829,75,153
162,123.8,991.7,131.5,154,829,75,153
163,124.8,999.6,128.3,166,870,78,153
164,125.5,1005.4,128.3,166,870,78,153
165,126.3,1011.6,125.5,177,909,78,153
166,127.0,1017.5,125.5,177,909,78,153
167,127.8,1023.5,126.3,174,897,78,153
168,128.5,1029.2,126.3,174,897,78,154
169,129.3,1035.2,126.7,172,892,76,154
170,130.0,1040.9,126.7,172,892,76,154
171,130.7,1046.8,128.8,164,863,76,154
172,131.7,1054.6,128.8,164,863,76,154
173,132.5,1060.2,128.8,164,863,76,154
174,133.2,1066.2,128.8,164,863,76,154
175,134.0,1072.0,128.8,164,863,76,154
176,134.7,1077.9,128.8,164,863,76,155
177,135.5,1083.6,128.5,165,867,76,155
178,136.2,1089.6,128.5,165,867,76,155
179,137.2,1097.5,126.9,171,889,77,155
180,138.0,1103.4,126.9,171,889,77,155
181,138.7,1109.3,127.4,169,882,76,155
182,139.4,1114.9,127.4,169,882,76,155
183,140.2,1120.8,129.0,163,861,75,155
184,141.2,1128.3,131.9,153,824,73,155
185,141.9,1133.9,131.9,153,824,73,155
186,142.7,1139.6,131.9,153,824,73,155
187,143.4,1145.2,132.6,150,816,74,156
188,144.2,1151.0,132.6,150,816,74,156
189,145.2,1158.7,130.7,157,839,75,156
190,145.9,1164.3,130.7,157,839,75,156
191,146.7,1170.1,131.0,156,835,74,156
192,147.4,1176.0,131.0,156,835,74,156
193,148.2,1182.1,128.4,165,869,77,156
194,148.9,1188.2,128.4,165,869,77,156
195,149.7,1194.5,122.3,191,958,80,156
196,0.6,6.2,0.0,,,91,156
197,1.1,11.1,0.0,,,91,156
198,1.6,16.2,106.7,288,1291,97,156
199,2.4,23.7,106.7,288,1291,97,156
200,2.9,28.8,99.6,354,1519,98,156
201,3.7,36.3,99.6,354,1519,98,156
202,4.1,41.3,100.4,346,1490,98,156
203,4.9,48.7,100.4,346,1490,98,156
204,5.4,53.7,100.6,344,1483,97,156
205,6.1,61.1,100.6,344,1483,97,157
206,6.7,66.1,101.4,336,1455,96,157
207,7.4,73.5,101.8,332,1441,97,157
208,7.9,78.4,101.8,332,1441,97,158
209,8.6,85.8,101.8,332,1441,96,158
210,9.2,90.8,101.8,332,1441,96,158
211,9.9,98.0,102.2,328,1428,96,158
212,10.4,103.0,102.2,328,1428,96,158
213,11.1,110.3,102.5,325,1418,97,158
214,11.6,115.3,102.5,325,1418,97,159
215,12.4,122.7,102.0,330,1435,96,159
216,12.9,127.5,102.0,330,1435,96,159
217,13.6,134.9,102.3,327,1425,97,160
218,14.1,139.8,102.3,327,1425,97,160
219,14.9,147.2,101.8,332,1441,97,160
220,15.4,152.2,101.8,332,1441,97,160
221,15.9,157.3,101.8,332,1441,97,160
222,16.7,165.0,99.9,351,1508,100,161
223,17.1,169.9,99.9,351,1508,100,161
224,17.9,177.7,98.8,363,1548,100,161
225,18.4,182.8,98.8,363,1548,100,161
226,18.9,187.9,97.8,374,1587,101,162
227,19.6,195.6,97.8,374,1587,101,162
228,20.1,200.7,97.9,373,1583,100,162
229,20.9,208.4,98.5,366,1560,101,163
230,21.4,213.5,98.5,366,1560,101,163
231,21.9,218.6,98.5,366,1560,101,163
232,22.6,226.1,98.7,364,1552,99,163
233,23.2,231.2,98.7,364,1552,99,163
234,23.9,238.8,99.6,354,1519,100,164
235,24.4,243.9,99.6,354,1519,100,164
236,24.9,249.0,98.8,363,1548,100,164
237,25.6,256.5,98.8,363,1548,100,164
238,26.1,261.6,99.2,359,1533,98,164
239,26.9,269.2,99.2,359,1533,98,165
240,27.4,274.3,99.2,359,1533,99,165
241,28.1,281.8,99.2,359,1533,99,165
242,28.6,286.9,99.3,357,1530,99,165
243,29.1,292.0,99.3,357,1530,99,165
244,29.9,299.7,98.7,364,1552,100,165
245,30.4,304.9,98.7,364,1552,100,165
246,31.1,312.6,97.8,374,1587,100,165
247,31.6,317.7,97.8,374,1587,100,166
