Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.6,4.5,0.0,,,,77
2,2.9,10.9,0.0,,,49,79
3,3.6,15.2,200.0,44,450,60,79
4,4.6,21.7,200.0,44,450,60,80
5,5.4,26.7,163.5,80,575,72,81
6,6.2,32.1,163.5,80,575,72,82
7,6.9,37.6,143.1,119,711,79,82
8,7.7,43.2,143.1,119,711,79,83
9,8.4,48.8,135.7,140,782,81,84
10,9.2,54.5,135.7,140,782,81,85
11,9.9,60.3,132.6,150,816,83,85
12,10.6,66.0,132.6,150,816,83,86
13,11.4,71.7,130.1,159,847,83,87
14,12.2,76.9,130.1,159,847,83,87
15,12.9,82.3,138.3,132,755,77,87
16,13.7,87.9,138.3,132,755,77,87
17,14.4,93.6,137.8,134,760,81,88
18,15.2,99.3,130.8,156,838,84,89
19,15.7,103.3,130.8,156,838,84,89
20,16.4,109.1,130.8,156,838,84,90
21,17.2,115.1,128.8,164,863,85,90
22,17.9,121.1,128.8,164,863,85,91
23,18.4,125.1,125.6,177,907,88,91
24,19.2,131.3,125.6,177,907,88,91
25,19.9,137.5,122.4,191,956,90,91
26,20.4,141.6,122.4,191,956,90,92
27,21.2,147.7,122.0,193,963,89,92
28,21.9,153.9,122.0,193,963,89,92
29,22.7,160.0,123.1,188,945,89,93
30,23.2,164.0,123.1,188,945,89,93
31,23.9,170.4,122.4,191,956,90,93
32,24.7,176.5,121.3,196,974,90,94
33,25.2,180.6,121.3,196,974,90,94
34,25.9,186.8,121.3,196,974,90,94
35,26.7,192.9,122.3,191,958,89,94
36,27.2,196.9,122.3,191,958,89,95
37,27.9,203.0,123.3,187,942,89,95
38,28.7,209.1,123.3,187,942,89,95
39,29.4,215.3,123.5,186,939,89,96
40,29.9,219.3,123.5,186,939,89,97
41,30.7,225.4,123.4,186,941,89,97
42,31.4,231.6,123.0,188,947,88,98
43,31.9,235.6,123.0,188,947,88,99
44,32.6,241.6,123.0,188,947,88,99
45,33.4,247.8,123.8,184,934,89,100
46,33.9,251.8,123.8,184,934,89,101
47,34.6,257.9,123.0,188,947,89,101
48,35.4,264.1,123.0,188,947,89,101
49,36.2,270.2,123.0,188,947,89,102
50,36.6,274.2,123.0,188,947,89,102
51,37.4,280.4,123.1,188,945,89,103
52,38.2,286.5,123.1,188,945,89,104
53,38.7,290.7,122.6,190,953,90,104
54,39.4,296.9,122.6,190,953,90,104
55,40.1,302.8,122.6,190,953,89,105
56,40.9,309.0,123.7,185,936,88,105
57,41.4,313.1,123.7,185,936,88,105
58,42.2,319.0,123.7,185,936,88,105
59,42.9,325.1,124.1,183,930,88,105
60,43.4,329.1,124.1,183,930,88,105
61,44.2,335.2,124.3,182,927,88,106
62,44.9,341.3,124.3,182,927,88,106
63,45.7,347.4,123.5,186,939,89,106
64,46.2,351.4,123.5,186,939,89,106
65,46.9,357.4,124.5,181,924,87,106
66,47.7,363.3,124.5,181,924,87,106
67,48.4,369.2,127.2,170,885,85,106
68,49.1,375.0,128.1,167,873,85,106
69,49.6,378.9,128.1,167,873,85,106
70,50.4,384.7,128.1,167,873,85,107
71,51.2,390.6,128.9,163,862,85,107
72,51.9,396.5,128.9,163,862,85,108
73,52.7,402.3,128.4,165,869,85,108
74,53.4,408.2,129.4,162,855,85,108
75,53.9,412.1,129.4,162,855,85,108
76,54.7,417.9,129.4,162,855,85,109
77,55.4,423.8,127.5,169,881,85,109
78,56.2,429.9,127.5,169,881,85,110
79,56.7,433.9,126.1,175,900,88,110
80,57.4,439.9,126.1,175,900,88,110
81,58.2,445.6,125.4,177,910,85,111
82,58.9,451.0,125.4,177,910,85,111
83,59.6,456.2,136.2,139,776,76,112
84,60.6,462.6,136.2,139,776,76,112
85,61.4,467.6,152.0,100,643,70,113
86,62.1,472.9,152.0,100,643,70,114
87,62.9,478.5,145.7,113,689,79,114
88,63.6,484.1,145.7,113,689,79,114
89,64.4,490.1,132.6,150,816,86,114
90,65.1,496.1,132.6,150,816,86,115
91,65.6,500.1,126.0,175,902,88,115
92,66.4,506.3,126.0,175,902,88,115
93,67.1,512.4,123.7,185,936,89,115
94,67.9,518.5,123.5,186,939,89,114
95,68.4,522.5,123.5,186,939,89,114
96,69.1,528.6,123.5,186,939,89,114
97,69.9,534.6,124.0,184,931,87,114
98,70.6,540.5,125.5,177,909,87,114
99,71.1,544.5,125.5,177,909,87,114
100,71.9,550.6,125.5,177,909,87,114
101,72.6,556.6,124.7,180,921,88,114
102,73.4,562.7,125.2,178,913,87,114
103,73.9,566.6,125.2,178,913,87,114
104,74.6,572.6,125.2,178,913,87,114
105,75.4,578.6,125.9,175,903,86,115
106,76.1,584.5,126.0,175,902,86,115
107,76.6,588.4,126.0,175,902,86,115
108,77.4,594.5,126.0,175,902,86,115
109,78.1,600.5,126.2,174,899,87,116
110,78.9,606.6,124.8,180,919,87,116
111,79.4,610.6,124.8,180,919,87,116
112,80.1,616.5,124.8,180,919,87,116
113,80.9,622.4,125.8,176,905,86,117
114,81.6,628.3,125.8,176,905,86,117
115,82.4,634.3,127.6,168,879,85,117
116,82.9,638.3,127.6,168,879,85,117
117,83.6,644.4,125.6,177,907,90,117
118,84.4,650.6,125.6,177,907,90,117
119,84.9,654.6,123.0,188,947,88,117
120,85.7,660.6,123.0,188,947,88,117
121,86.4,666.6,124.8,180,919,87,118
122,87.1,672.5,124.8,180,919,87,118
123,87.6,676.5,125.5,177,909,87,118
124,88.4,682.5,125.5,177,909,87,118
125,89.1,688.5,125.8,176,905,87,118
126,89.9,694.5,125.8,176,905,87,118
127,90.6,700.3,126.6,172,893,86,118
128,91.2,704.3,126.6,172,893,86,118
129,91.9,710.3,126.8,172,890,86,118
130,92.6,716.2,126.8,172,890,86,118
131,93.4,722.3,126.3,174,897,87,119
132,93.9,726.3,126.3,174,897,87,119
133,94.6,732.3,125.1,179,915,87,119
134,95.4,738.3,125.1,179,915,87,119
135,96.1,744.2,125.4,177,910,87,120
136,96.6,748.2,125.4,177,910,87,120
137,97.4,754.2,125.9,175,903,86,120
138,98.2,760.2,125.9,175,903,86,120
139,98.9,766.0,126.7,172,892,85,121
140,99.6,772.0,126.5,173,895,87,121
141,100.1,776.0,126.5,173,895,87,121
142,100.9,782.1,126.5,173,895,87,121
143,101.6,788.0,125.3,178,912,86,121
144,102.4,793.9,125.3,178,912,86,122
145,102.9,798.0,126.6,172,893,86,122
146,103.6,803.8,126.6,172,893,86,122
147,104.4,809.8,126.8,172,890,86,122
148,105.2,815.8,126.8,172,890,86,122
149,105.9,821.6,126.3,174,897,86,123
150,106.4,825.7,126.3,174,897,86,123
151,107.1,831.6,126.4,173,896,87,123
152,107.9,837.6,126.4,173,896,87,123
153,108.7,843.7,125.6,177,907,87,123
154,109.1,847.6,125.6,177,907,87,123
155,109.9,853.7,125.2,178,913,87,123
156,110.6,859.7,125.2,178,913,87,123
157,111.4,865.6,125.4,177,910,86,124
158,111.9,869.5,125.4,177,910,86,124
159,112.6,875.4,127.1,170,886,85,124
160,113.4,881.4,127.1,170,886,85,124
161,114.1,887.2,127.6,168,879,85,124
162,114.9,893.1,127.6,168,879,85,124
163,115.4,897.1,127.8,168,877,86,124
164,116.1,903.0,127.8,168,877,86,124
165,116.9,908.9,127.4,169,882,85,124
166,117.6,914.8,127.4,169,882,85,124
167,118.4,920.8,127.0,171,888,86,124
168,118.9,924.8,127.0,171,888,86,124
169,119.6,930.8,125.7,176,906,87,124
170,120.4,936.7,125.7,176,906,87,124
171,121.1,942.6,126.5,173,895,86,124
172,121.6,946.6,126.5,173,895,86,124
173,122.4,952.7,125.6,177,907,87,124
174,123.1,958.7,125.6,177,907,87,124
175,123.9,964.6,125.7,176,906,86,124
176,124.6,970.5,126.6,172,893,86,124
177,125.1,974.5,126.6,172,893,86,124
178,125.9,980.4,126.6,172,893,86,124
179,126.6,986.3,127.0,171,888,86,124
180,127.4,992.3,127.0,171,888,86,125
181,128.1,998.2,127.0,171,888,85,125
182,128.6,1002.2,127.0,171,888,85,125
183,129.4,1008.2,126.3,174,897,87,125
184,130.1,1014.0,126.3,174,897,87,125
185,130.9,1020.0,127.3,170,883,85,125
186,131.4,1024.0,127.3,170,883,85,125
187,132.1,1030.0,125.8,176,905,87,125
188,132.9,1036.0,125.8,176,905,87,125
189,133.6,1041.8,126.5,173,895,86,126
190,134.4,1047.7,127.6,168,879,85,126
191,134.9,1051.6,127.6,168,879,85,126
192,135.6,1057.4,127.6,168,879,85,126
193,136.4,1063.4,128.1,167,873,85,126
194,137.1,1069.3,128.1,167,873,85,126
195,137.9,1075.3,128.0,167,874,86,126
196,138.4,1079.2,128.0,167,874,86,126
197,139.1,1085.0,127.0,171,888,85,126
198,139.9,1090.9,127.0,171,888,85,127
199,140.6,1096.7,127.8,168,877,85,127
200,141.4,1102.6,127.8,168,877,85,127
201,142.1,1108.4,128.6,165,866,84,127
202,142.6,1112.2,128.6,165,866,84,127
203,143.4,1118.1,129.7,160,852,84,127
204,144.1,1124.0,129.7,160,852,84,128
205,144.9,1129.8,128.7,164,865,84,128
206,145.6,1135.6,128.7,164,865,84,128
207,146.4,1141.4,129.4,162,855,84,128
208,146.9,1145.3,129.4,162,855,84,128
209,147.6,1151.2,128.7,164,865,84,128
210,148.4,1157.0,128.7,164,865,84,129
211,149.1,1162.9,129.1,163,859,85,129
212,149.9,1169.0,126.1,175,900,86,129
213,150.4,1172.9,126.1,175,900,86,129
214,151.1,1178.7,126.1,175,900,86,129
215,151.9,1184.8,127.1,170,886,86,129
216,152.6,1190.8,127.1,170,886,86,129
217,153.4,1196.8,125.6,177,907,86,129
218,153.9,1200.7,125.6,177,907,86,129
219,154.6,1206.5,127.0,171,888,85,129
220,155.4,1212.4,127.0,171,888,85,129
221,156.1,1218.3,127.7,168,878,85,129
222,156.9,1224.1,128.6,165,866,84,129
223,157.4,1228.0,128.6,165,866,84,129
224,158.1,1233.9,128.6,165,866,84,129
225,158.9,1239.6,128.9,163,862,84,129
226,159.6,1245.5,128.9,163,862,84,129
227,160.4,1251.3,130.0,159,848,84,128
228,161.1,1257.3,127.2,170,885,85,128
229,161.6,1261.2,127.2,170,885,85,128
230,162.4,1267.1,127.2,170,885,85,128
231,163.1,1272.9,128.3,166,870,85,128
232,163.9,1278.8,128.3,166,870,85,127
233,164.6,1284.7,128.1,167,873,86,127
234,165.1,1288.7,128.1,167,873,86,127
235,165.9,1294.6,126.7,172,892,86,127
236,166.6,1300.5,126.7,172,892,86,127
237,167.4,1306.5,127.1,170,886,85,126
238,168.1,1312.3,128.2,166,871,85,126
239,168.6,1316.2,128.2,166,871,85,126
240,169.4,1322.0,128.2,166,871,85,126
241,170.1,1327.8,129.3,162,857,84,125
242,170.9,1333.7,129.3,162,857,84,125
243,171.6,1339.5,129.1,163,859,85,125
244,172.1,1343.5,129.1,163,859,85,125
245,172.9,1349.5,125.9,175,903,87,125
246,173.6,1355.4,125.9,175,903,87,125
247,174.4,1361.2,127.5,169,881,84,125
248,175.1,1367.1,127.5,169,881,84,125
249,175.9,1372.9,128.9,163,862,84,125
250,176.4,1377.0,128.9,163,862,84,125
251,177.1,1382.8,127.3,170,883,86,125
252,177.9,1388.8,127.3,170,883,86,125
253,178.6,1394.8,127.0,171,888,86,125
254,179.4,1400.6,127.1,170,886,85,125
255,179.9,1404.6,127.1,170,886,85,125
256,180.6,1410.5,127.1,170,886,85,125
257,181.4,1416.4,127.4,169,882,85,125
258,182.1,1422.2,127.4,169,882,85,125
259,182.9,1428.1,128.3,166,870,85,125
260,183.4,1432.1,128.3,166,870,85,125
261,184.1,1437.8,128.0,167,874,85,125
262,184.9,1443.8,128.0,167,874,85,125
263,185.6,1449.5,128.0,167,874,85,126
264,186.4,1455.4,128.0,167,874,85,126
265,187.1,1461.3,129.2,162,858,84,126
266,187.6,1465.2,129.2,162,858,84,126
267,188.4,1471.0,129.5,161,854,84,126
268,189.1,1476.8,129.5,161,854,84,126
269,189.9,1482.6,129.3,162,857,84,126
270,190.6,1488.2,129.3,162,857,84,126
271,191.4,1494.1,130.2,159,845,83,126
272,192.1,1499.8,130.5,157,841,83,126
273,192.6,1503.8,130.5,157,841,83,126
274,193.4,1509.6,130.5,157,841,83,126
275,194.1,1515.5,128.2,166,871,85,126
276,194.9,1521.3,128.2,166,871,85,126
277,195.6,1527.3,129.0,163,861,84,127
278,196.1,1531.3,129.0,163,861,84,127
279,196.9,1537.4,125.0,179,916,87,127
280,197.6,1543.3,125.0,179,916,87,127
281,198.4,1549.2,126.2,174,899,86,127
282,198.9,1553.1,126.2,174,899,86,127
283,199.6,1559.0,127.7,168,878,85,127
284,200.4,1565.0,127.7,168,878,85,128
285,201.1,1571.1,126.6,172,893,87,128
286,201.9,1577.0,124.8,180,919,87,128
287,202.4,1581.0,124.8,180,919,87,128
288,203.1,1586.9,124.8,180,919,87,129
289,203.9,1592.9,126.9,171,889,85,129
290,204.6,1598.6,126.9,171,889,85,129
291,205.4,1604.6,128.0,167,874,85,129
292,205.9,1608.6,128.0,167,874,85,129
293,206.6,1614.5,126.8,172,890,86,129
294,207.4,1620.4,126.8,172,890,86,129
295,208.1,1626.3,127.3,170,883,85,129
296,208.9,1632.2,127.8,168,877,85,129
297,209.4,1636.1,127.8,168,877,85,129
298,210.1,1641.9,127.8,168,877,85,129
299,210.9,1647.9,128.3,166,870,85,129
300,211.6,1653.9,128.3,166,870,85,129
301,212.1,1657.8,126.3,174,897,86,129
302,212.9,1663.8,126.3,174,897,86,129
303,213.6,1669.8,126.3,174,897,86,129
304,214.4,1675.9,126.3,174,897,86,129
305,214.9,1679.9,124.8,180,919,88,130
306,215.6,1685.9,124.8,180,919,88,130
307,216.4,1691.9,124.8,180,919,87,130
308,217.1,1697.8,124.8,180,919,87,130
309,217.9,1703.8,126.2,174,899,86,130
310,218.4,1707.7,126.2,174,899,86,130
311,219.1,1713.6,127.1,170,886,86,130
312,219.9,1719.5,127.1,170,886,86,130
313,220.6,1725.3,128.2,166,871,85,130
314,221.4,1731.3,127.7,168,878,86,130
315,221.9,1735.3,127.7,168,878,86,130
316,222.6,1741.2,127.7,168,878,86,130
317,223.4,1747.3,125.4,177,910,88,130
318,224.1,1753.3,125.2,178,913,87,130
319,224.6,1757.3,125.2,178,913,87,130
320,225.4,1763.3,125.2,178,913,87,130
321,226.1,1769.1,125.6,177,907,85,130
322,226.9,1775.1,125.6,177,907,85,130
323,227.6,1781.0,127.9,167,875,86,130
324,228.1,1784.9,127.9,167,875,86,130
325,228.9,1790.8,126.9,171,889,86,131
326,229.6,1796.8,126.9,171,889,86,131
327,230.4,1802.9,126.4,173,896,87,131
328,230.9,1806.9,126.4,173,896,87,131
329,231.6,1812.9,124.9,180,918,88,131
330,232.4,1819.0,124.9,180,918,88,131
331,233.1,1825.0,124.3,182,927,87,131
332,233.6,1828.9,124.3,182,927,87,131
333,234.4,1834.8,126.6,172,893,87,131
334,235.1,1840.8,126.6,172,893,87,131
335,235.9,1846.7,126.1,175,900,86,131
336,236.6,1852.5,128.2,166,871,85,131
337,237.1,1856.4,128.2,166,871,85,131
338,237.9,1862.4,128.2,166,871,85,131
339,238.6,1868.4,127.5,169,881,87,131
340,239.4,1874.5,127.5,169,881,87,131
341,239.9,1878.4,125.3,178,912,87,131
342,240.6,1884.2,125.3,178,912,87,131
343,241.4,1890.2,127.4,169,882,85,131
344,242.1,1896.0,127.4,169,882,85,132
345,242.9,1902.1,127.0,171,888,87,132
346,243.4,1906.1,127.0,171,888,87,132
347,244.1,1912.2,124.5,181,924,88,132
348,244.9,1918.3,124.5,181,924,88,132
349,245.4,1922.3,124.0,184,931,89,132
350,246.1,1928.4,124.0,184,931,89,133
351,246.9,1934.4,124.2,183,928,88,133
352,247.6,1940.4,124.2,183,928,88,133
353,248.4,1946.3,125.7,176,906,87,133
354,248.9,1950.4,125.7,176,906,87,133
355,249.6,1956.4,125.2,178,913,88,133
356,250.4,1962.4,125.2,178,913,88,133
357,251.1,1968.4,125.1,179,915,87,133
358,251.6,1972.4,125.1,179,915,87,133
359,252.4,1978.5,125.2,178,913,87,133
360,253.1,1984.5,125.2,178,913,87,134
361,253.6,1988.5,124.7,180,921,88,134
362,254.4,1994.5,124.7,180,921,88,134
363,255.1,2000.4,126.0,175,902,87,134
364,255.9,2006.4,126.0,175,902,87,134
365,256.6,2012.4,126.5,173,895,86,134
366,257.1,2016.4,126.5,173,895,86,134
367,257.9,2022.4,125.5,177,909,87,134
368,258.6,2028.4,125.5,177,909,87,134
369,259.1,2032.6,124.2,183,928,89,134
370,259.9,2038.7,124.2,183,928,89,134
371,260.6,2044.7,123.1,188,945,88,134
372,261.4,2050.9,122.8,189,950,89,134
373,261.9,2055.0,122.8,189,950,89,134
374,262.6,2060.9,122.8,189,950,89,134
375,263.4,2067.0,124.5,181,924,87,134
376,264.1,2073.0,125.4,177,910,87,134
377,264.6,2077.0,125.4,177,910,87,134
378,265.4,2083.0,125.4,177,910,87,133
379,266.1,2089.0,125.9,175,903,87,133
380,266.9,2095.0,124.2,183,928,88,133
381,267.4,2099.2,124.2,183,928,88,133
382,268.1,2105.1,124.2,183,928,88,133
383,268.9,2111.0,124.9,180,918,86,133
384,269.6,2116.9,124.9,180,918,86,133
385,270.4,2122.7,128.4,165,869,85,133
386,270.9,2126.5,128.4,165,869,85,133
387,271.6,2132.1,130.9,156,837,83,133
388,272.4,2137.9,130.9,156,837,83,133
389,273.1,2143.5,132.0,152,823,83,133
390,273.9,2149.2,132.0,152,823,83,133
391,274.6,2155.0,132.3,151,820,83,134
392,275.4,2160.8,132.3,151,820,83,134
393,276.1,2166.7,129.6,161,853,84,134
394,276.6,2170.7,129.6,161,853,84,134
395,277.4,2176.8,126.7,172,892,87,134
396,278.1,2182.6,126.7,172,892,87,135
397,278.9,2188.5,126.1,175,900,85,135
398,279.6,2194.3,128.5,165,867,84,135
399,280.1,2198.3,128.5,165,867,84,135
400,280.9,2204.1,128.5,165,867,84,136
401,281.6,2210.0,128.5,165,867,85,136
402,282.4,2215.9,128.5,165,867,85,136
403,283.1,2221.8,128.0,167,874,85,136
404,283.6,2225.6,128.0,167,874,85,136
405,284.4,2231.4,128.7,164,865,85,136
406,285.1,2237.3,128.7,164,865,85,136
407,285.9,2243.2,129.2,162,858,85,136
408,286.6,2249.0,129.2,162,858,85,136
409,287.4,2255.0,128.1,167,873,87,136
410,287.9,2259.0,128.1,167,873,87,136
411,288.6,2264.9,126.6,172,893,85,136
412,289.4,2270.7,126.6,172,893,85,136
413,290.1,2276.6,127.7,168,878,85,136
414,290.9,2282.5,127.9,167,875,86,136
415,291.4,2286.4,127.9,167,875,86,136
416,292.1,2292.3,127.9,167,875,86,136
417,292.9,2298.3,127.5,169,881,85,135
418,293.6,2304.1,127.5,169,881,85,135
419,294.4,2310.0,128.2,166,871,85,135
420,294.9,2313.9,128.2,166,871,85,135
421,295.6,2319.9,127.6,168,879,87,135
422,296.4,2325.9,127.6,168,879,87,135
423,297.1,2331.9,125.7,176,906,87,135
424,297.6,2335.8,125.7,176,906,87,135
425,298.4,2341.9,125.6,177,907,87,135
426,299.1,2347.9,125.6,177,907,87,135
427,299.9,2354.0,124.7,180,921,88,135
428,300.4,2358.0,124.7,180,921,88,135
429,301.1,2364.1,124.5,181,924,87,135
430,301.9,2370.0,124.5,181,924,87,135
431,302.6,2376.0,125.9,175,903,87,135
432,303.1,2380.0,125.9,175,903,87,135
433,303.9,2386.1,124.2,183,928,88,135
434,304.6,2392.2,124.2,183,928,88,135
435,305.4,2398.3,124.3,182,927,88,135
436,305.9,2402.3,124.3,182,927,88,135
437,306.6,2408.3,124.1,183,930,87,135
438,307.4,2414.3,124.1,183,930,87,135
439,308.1,2420.2,125.6,177,907,86,135
440,308.6,2424.2,125.6,177,907,86,135
441,309.4,2430.2,126.6,172,893,86,135
442,310.1,2436.0,126.6,172,893,86,135
443,310.9,2442.1,126.8,172,890,87,135
444,311.4,2446.0,126.8,172,890,87,135
445,312.1,2452.0,125.7,176,906,86,135
446,312.9,2458.0,125.7,176,906,86,135
447,313.6,2463.8,126.5,173,895,86,135
448,314.4,2469.7,126.5,173,895,86,135
449,314.9,2473.7,128.7,164,865,85,135
450,315.6,2479.6,128.7,164,865,85,135
451,316.4,2485.5,126.4,173,896,86,135
452,317.1,2491.4,126.4,173,896,86,135
453,317.9,2497.4,127.2,170,885,85,135
454,318.4,2501.3,127.2,170,885,85,135
455,319.1,2507.2,127.5,169,881,86,136
456,319.9,2513.3,127.5,169,881,86,136
457,320.6,2519.3,125.2,178,913,87,136
458,321.1,2523.3,125.2,178,913,87,136
459,321.9,2529.3,125.6,177,907,87,136
460,322.6,2535.1,125.6,177,907,87,136
461,323.4,2541.2,126.2,174,899,86,136
462,323.9,2545.1,126.2,174,899,86,136
463,324.6,2551.1,125.8,176,905,86,136
464,325.4,2557.2,125.8,176,905,86,136
465,326.1,2563.2,125.6,177,907,87,136
466,326.6,2567.2,125.6,177,907,87,136
467,327.4,2573.1,124.9,180,918,87,136
468,328.1,2579.1,124.9,180,918,87,136
469,328.9,2585.1,126.3,174,897,86,136
470,329.6,2590.9,126.3,174,897,86,136
471,330.1,2595.0,127.0,171,888,86,136
472,330.9,2600.8,127.0,171,888,86,136
473,331.6,2606.7,127.4,169,882,85,136
474,332.4,2612.6,127.4,169,882,85,136
