Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.0,13.0,198.7,45,453,57,78
2,5.0,25.2,168.5,73,551,66,78
3,6.5,34.9,155.0,94,623,69,78
4,8.5,48.2,151.2,101,648,71,79
5,10.0,58.6,146.1,112,686,73,79
6,11.5,69.0,144.8,115,696,73,82
7,13.5,83.0,145.0,115,695,73,86
8,15.0,93.4,145.2,114,693,73,88
9,16.5,103.9,143.5,118,707,74,89
10,18.0,114.7,139.7,128,741,77,90
11,19.5,125.6,138.9,131,749,76,91
12,21.5,139.8,142.1,122,719,73,92
13,23.0,151.3,133.8,146,802,73,92
14,24.5,163.5,123.9,184,933,74,94
15,26.0,175.7,122.8,189,950,75,94
16,27.5,188.5,117.9,214,1034,76,96
17,29.5,205.5,117.8,214,1036,76,99
18,31.0,218.2,119.0,208,1014,75,100
19,32.5,230.7,119.3,206,1009,75,102
20,34.0,243.6,118.7,209,1020,76,104
21,35.5,256.2,117.7,215,1038,76,106
22,37.0,268.9,118.7,209,1020,76,107
23,39.0,285.8,119.8,204,1000,75,108
24,40.5,298.2,120.6,200,986,74,110
25,42.0,310.4,122.3,191,958,73,111
26,43.5,322.7,122.2,192,960,73,113
27,45.5,338.9,124.9,180,918,72,115
28,47.0,350.8,125.1,179,915,73,116
29,48.5,363.2,122.0,193,963,75,118
30,50.0,375.9,119.4,206,1007,75,119
31,52.0,392.9,118.1,212,1031,78,120
32,53.5,405.7,117.4,216,1044,76,121
33,55.0,418.3,119.4,206,1007,75,121
34,56.5,430.8,120.2,202,993,75,122
35,58.0,443.3,120.0,203,997,75,123
36,60.0,460.1,120.0,203,997,74,123
37,61.5,472.5,120.9,198,981,75,124
38,63.0,485.1,119.4,206,1007,74,124
39,64.5,497.9,118.2,212,1029,77,125
40,66.0,510.7,117.7,215,1038,79,125
41,67.5,523.1,120.2,202,993,78,125
42,69.0,535.7,120.6,200,986,79,126
43,70.5,548.1,121.2,197,976,77,126
44,72.0,560.1,124.0,184,931,75,126
45,74.0,575.8,127.9,167,875,73,126
46,75.5,587.9,126.6,172,893,76,126
47,77.0,599.9,125.5,177,909,75,126
48,78.5,611.8,125.1,179,915,75,127
49,80.0,623.8,126.0,175,902,75,128
50,82.0,639.5,126.9,171,889,74,129
51,83.5,651.2,128.4,165,869,74,131
52,85.0,663.0,128.1,167,873,74,131
53,86.5,675.0,125.9,175,903,76,132
54,88.0,687.3,122.8,189,950,77,133
55,89.5,699.6,122.5,190,955,77,133
56,91.5,715.8,123.2,187,944,77,134
57,93.0,728.1,123.2,187,944,76,134
58,94.5,740.4,123.2,187,944,77,134
59,96.0,752.5,123.4,186,941,76,134
60,97.5,764.3,126.4,173,896,73,134
61,99.0,776.2,127.1,170,886,76,134
62,100.5,788.2,125.4,177,910,75,134
63,102.5,803.9,127.7,168,878,73,134
