Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.6,4.1,0.0,,,,75
2,2.9,9.3,238.8,26,388,60,77
3,3.6,13.1,238.8,26,388,60,77
4,4.6,18.7,188.5,52,479,75,77
5,5.4,23.3,188.5,52,479,75,77
6,6.1,28.0,160.5,85,591,84,78
7,6.6,31.4,160.5,85,591,84,78
8,7.4,36.5,160.5,85,591,84,79
9,8.1,41.8,147.5,109,675,89,79
10,8.6,45.4,147.5,109,675,89,79
11,9.4,50.8,141.6,123,724,91,80
12,10.1,56.3,137.6,134,762,94,82
13,10.6,59.9,137.6,134,762,94,82
14,11.4,65.5,136.0,139,778,94,83
15,11.9,69.2,136.0,139,778,94,84
16,12.6,74.8,136.0,139,778,94,84
17,13.1,78.5,136.0,139,778,94,85
18,13.9,84.0,136.0,139,778,94,87
19,14.4,87.7,135.6,140,783,95,87
20,15.1,93.4,135.6,140,783,95,88
21,15.6,97.2,133.7,146,804,97,88
22,16.4,102.8,133.7,146,804,97,89
23,16.9,106.6,132.7,150,815,96,90
24,17.6,112.2,132.7,150,815,96,90
25,18.1,116.0,133.2,148,809,96,91
26,18.9,121.7,133.1,148,810,96,92
27,19.4,125.4,133.1,148,810,96,92
28,20.1,131.0,134.2,145,798,95,93
29,20.6,134.6,134.2,145,798,95,93
30,21.4,140.0,134.2,145,798,95,94
31,22.1,145.2,138.9,131,749,89,95
32,22.6,148.6,138.9,131,749,89,95
33,23.4,154.8,147.6,109,674,85,95
34,24.1,161.3,147.6,109,674,85,96
35,24.9,168.0,114.3,234,1106,84,97
36,25.6,174.8,114.3,234,1106,84,97
37,26.4,181.6,111.6,252,1166,84,97
38,26.9,186.1,111.6,252,1166,84,98
39,27.6,192.9,110.6,259,1190,85,98
40,28.4,199.7,110.6,259,1190,85,98
41,29.1,206.7,110.2,262,1200,85,99
42,29.9,213.6,108.9,271,1232,87,100
43,30.4,218.2,108.9,271,1232,87,100
44,31.1,225.3,108.9,271,1232,87,101
45,31.9,232.2,107.9,279,1258,87,102
