Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.1,12.9,218.2,34,415,56,83
2,5.1,24.6,175.2,65,523,63,83
3,6.6,34.0,160.3,85,592,68,83
4,8.6,47.2,153.5,97,633,71,82
5,10.1,57.4,147.8,108,673,72,82
6,12.1,71.3,149.8,104,658,71,81
7,13.6,83.1,128.4,165,869,70,81
8,15.1,95.3,123.4,186,941,73,81
9,17.1,112.0,121.3,196,974,74,80
10,18.6,124.7,119.1,207,1013,75,80
11,20.1,137.4,117.6,215,1040,76,80
12,21.6,150.3,116.9,219,1054,76,80
13,23.1,163.1,118.1,212,1031,74,79
14,24.6,175.5,120.9,198,981,73,79
15,26.6,191.9,121.9,193,964,72,78
16,28.1,203.9,124.4,182,925,71,78
17,29.6,216.1,123.5,186,939,73,78
18,31.6,232.5,122.4,191,956,73,77
19,33.1,245.0,122.3,191,958,74,77
20,34.6,257.6,119.3,206,1009,77,77
21,36.1,270.7,115.5,227,1081,78,76
22,37.6,283.8,114.8,231,1096,79,76
23,39.1,297.2,113.2,241,1130,80,76
24,40.6,310.4,114.2,235,1108,78,76
25,42.1,323.7,112.6,245,1143,81,76
26,43.6,337.1,111.8,250,1161,80,76
27,45.1,350.4,114.0,236,1113,78,77
28,46.6,363.6,114.2,235,1108,80,77
29,48.1,377.0,112.3,247,1150,81,77
30,49.6,390.5,111.7,251,1164,81,77
31,51.1,404.1,110.6,259,1190,82,77
32,52.6,417.6,110.9,257,1183,81,77
33,54.1,431.2,110.9,257,1183,82,77
34,55.6,444.8,111.3,254,1173,80,77
35,57.1,458.2,112.1,248,1155,80,76
36,58.6,471.5,113.5,239,1123,80,76
37,60.1,484.1,118.8,209,1018,79,76
38,61.6,496.9,118.4,211,1025,80,76
39,63.1,509.6,118.3,211,1027,79,75
40,65.1,526.5,118.5,210,1023,79,75
41,66.1,535.2,116.5,221,1061,80,75
42,67.6,548.1,116.3,222,1065,80,75
43,69.1,561.1,116.2,223,1067,80,75
44,70.6,573.8,117.7,215,1038,79,75
45,72.1,586.7,116.9,219,1054,80,75
46,73.6,599.7,115.9,225,1073,81,74
47,75.1,612.8,115.3,228,1085,80,74
48,76.6,626.0,114.1,236,1110,83,74
49,78.1,639.3,113.8,237,1117,81,74
50,79.6,652.1,116.8,220,1055,79,74
51,81.1,665.0,116.4,222,1063,80,74
52,82.6,678.0,116.2,223,1067,80,74
53,84.1,690.6,118.9,208,1016,78,74
54,85.6,703.2,120.0,203,997,77,74
55,87.1,715.6,121.9,193,964,76,74
56,89.1,732.0,121.7,194,968,77,74
57,90.6,744.5,120.5,200,988,78,74
58,92.1,757.0,120.7,199,985,77,74
59,93.6,769.3,121.3,196,974,77,74
60,95.1,781.9,120.7,199,985,78,74
61,96.6,794.4,120.8,199,983,79,74
62,98.1,807.1,117.4,216,1044,79,74
63,99.6,819.6,120.5,200,988,77,73
64,101.1,831.8,123.5,186,939,76,73
65,102.6,844.2,122.5,190,955,77,73
66,104.6,860.5,122.2,192,960,77,73
