Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.8,10.3,0.0,,,62,94
2,2.8,16.1,174.0,66,528,60,93
3,3.6,20.9,174.0,66,528,60,93
4,4.3,26.3,162.6,81,580,74,93
5,5.1,31.8,162.6,81,580,74,93
6,5.8,37.6,137.0,136,768,81,93
7,6.6,43.4,137.0,136,768,81,94
8,7.3,49.3,128.8,164,863,85,94
9,8.1,55.1,128.8,164,863,85,94
10,8.8,61.2,127.4,169,882,84,95
11,9.3,65.2,127.4,169,882,84,95
12,10.1,71.2,125.1,179,915,86,96
13,10.8,77.3,125.1,179,915,86,97
14,11.6,83.4,124.7,180,921,86,98
15,12.3,89.4,124.6,181,922,87,98
16,12.8,93.5,124.6,181,922,87,98
17,13.6,99.8,124.6,181,922,87,99
18,14.3,105.8,121.4,196,973,88,100
19,14.8,110.0,121.4,196,973,88,100
20,15.6,116.1,122.4,191,956,88,102
21,16.3,122.2,122.4,191,956,88,103
22,17.1,128.4,122.4,191,956,88,103
23,17.6,132.6,122.4,191,956,88,104
24,18.3,138.8,122.0,193,963,89,104
25,19.1,144.9,122.0,193,963,89,105
26,19.6,149.0,121.8,194,966,88,107
27,20.3,155.2,121.8,194,966,88,107
28,21.1,161.4,122.2,192,960,89,108
29,21.8,167.6,121.4,196,973,89,109
30,22.3,171.8,121.4,196,973,89,109
31,23.1,178.0,121.4,196,973,89,110
32,23.8,184.2,120.9,198,981,89,110
33,24.3,188.4,120.9,198,981,89,111
34,25.1,194.7,119.7,204,1002,91,111
35,25.8,201.0,119.8,204,1000,90,112
36,26.3,205.2,119.8,204,1000,90,112
37,27.1,211.5,119.8,204,1000,90,113
38,27.8,217.6,120.5,200,988,89,114
39,28.3,221.8,120.5,200,988,89,115
40,29.1,228.1,120.5,200,988,90,115
41,29.8,234.4,120.5,200,988,90,115
42,30.3,238.6,119.3,206,1009,90,115
43,31.1,244.8,119.3,206,1009,90,116
44,31.8,251.0,120.8,199,983,90,116
45,32.3,255.3,120.8,199,983,90,116
46,33.1,261.6,119.9,203,998,91,117
47,33.8,267.9,119.9,203,998,91,117
48,34.3,271.9,119.9,203,998,90,117
49,35.1,278.2,119.9,203,998,90,118
50,35.8,284.5,120.6,200,986,90,119
51,36.3,288.7,120.6,200,986,90,119
52,37.1,295.0,119.5,205,1005,91,119
53,37.8,301.4,119.5,205,1005,91,120
54,38.3,305.6,119.1,207,1013,91,121
55,39.1,311.8,119.1,207,1013,91,121
56,39.8,318.2,119.0,208,1014,92,121
57,40.3,322.4,119.0,208,1014,92,122
58,41.1,328.8,118.8,209,1018,91,122
59,41.8,335.2,118.2,212,1029,92,123
60,42.3,339.4,118.2,212,1029,92,123
61,43.1,345.8,118.2,212,1029,92,123
62,43.6,350.0,118.7,209,1020,91,124
63,44.3,356.3,118.7,209,1020,91,124
64,45.1,362.7,118.6,210,1022,91,125
65,45.6,366.8,118.6,210,1022,91,125
66,46.3,373.2,118.5,210,1023,91,125
67,47.1,379.5,118.5,210,1023,91,126
68,47.6,383.7,119.5,205,1005,90,126
69,48.3,390.1,119.5,205,1005,90,126
70,49.1,396.4,118.9,208,1016,91,126
71,49.6,400.6,118.9,208,1016,91,127
72,50.3,407.0,118.8,209,1018,91,127
73,50.8,411.3,118.8,209,1018,91,127
74,51.6,417.5,118.3,211,1027,91,127
75,52.3,423.9,118.3,211,1027,91,127
76,52.8,428.1,118.5,210,1023,91,127
77,53.6,434.5,118.5,210,1023,91,128
78,54.3,440.8,118.8,209,1018,91,128
79,54.8,445.0,118.8,209,1018,91,128
80,55.6,451.3,119.5,205,1005,91,128
81,56.3,457.7,119.5,205,1005,91,128
82,56.8,462.0,118.3,211,1027,92,128
83,57.6,468.4,118.3,211,1027,92,128
84,58.1,472.6,117.6,215,1040,92,128
85,58.8,479.1,117.6,215,1040,92,128
86,59.6,485.3,117.6,215,1040,91,129
87,60.1,489.5,117.6,215,1040,91,129
88,60.8,495.9,118.6,210,1022,91,129
89,61.6,502.3,118.6,210,1022,91,129
90,62.1,506.4,118.6,210,1022,90,129
91,62.8,512.9,118.6,210,1022,90,130
92,63.6,519.3,118.6,210,1022,91,130
93,64.1,523.4,118.6,210,1022,91,130
94,64.8,529.9,117.9,214,1034,92,131
95,65.3,534.2,117.9,214,1034,92,131
96,66.0,540.5,117.4,216,1044,92,131
97,66.8,547.1,116.9,219,1054,92,132
98,67.3,551.4,116.9,219,1054,92,132
99,68.1,557.7,116.9,219,1054,92,133
100,68.6,562.1,117.2,217,1048,92,133
101,69.3,568.4,117.2,217,1048,92,133
102,70.1,574.6,118.4,211,1025,91,134
103,70.6,578.9,118.4,211,1025,91,134
104,71.3,585.2,119.1,207,1013,90,135
105,72.0,591.4,119.1,207,1013,90,135
106,72.6,595.8,119.3,206,1009,90,135
107,73.3,602.1,119.3,206,1009,90,135
108,74.1,608.2,119.2,207,1011,90,136
109,74.6,612.5,119.2,207,1011,90,136
110,75.3,618.9,119.3,206,1009,91,136
111,76.1,625.1,119.3,206,1009,91,137
112,76.6,629.4,119.4,206,1007,90,137
113,77.3,635.6,119.4,206,1007,90,137
114,78.1,641.7,120.4,201,990,89,138
115,78.6,646.0,120.4,201,990,89,138
116,79.3,652.3,120.1,202,995,90,138
117,80.1,658.5,120.1,202,995,90,138
118,80.6,662.8,120.3,201,991,89,139
119,81.3,669.1,120.3,201,991,89,139
120,82.0,675.2,119.7,204,1002,90,139
121,82.6,679.5,119.7,204,1002,90,139
122,83.3,685.8,119.5,205,1005,90,139
123,84.1,692.0,119.5,205,1005,90,140
124,84.6,696.3,120.4,201,990,89,140
125,85.3,702.5,120.4,201,990,89,140
126,86.0,708.7,119.3,206,1009,90,140
127,86.6,713.1,119.3,206,1009,90,141
128,87.3,719.4,119.5,205,1005,90,141
129,88.0,725.6,119.5,205,1005,90,141
130,88.6,729.9,119.1,207,1013,90,141
131,89.3,736.3,119.1,207,1013,90,141
132,90.0,742.3,119.6,205,1004,90,142
133,90.6,746.6,119.6,205,1004,90,142
134,91.3,753.0,119.9,203,998,91,142
135,91.8,757.3,119.9,203,998,91,142
136,92.6,763.7,117.6,215,1040,91,142
137,93.3,770.0,117.6,215,1040,91,142
138,93.8,774.2,119.0,208,1014,90,143
139,94.6,780.6,119.0,208,1014,90,143
140,95.3,786.8,119.1,207,1013,91,143
141,95.8,791.0,119.1,207,1013,91,143
142,96.6,797.3,119.2,207,1011,91,143
143,97.3,803.6,119.2,207,1011,91,143
144,97.8,807.8,119.7,204,1002,90,143
145,98.5,813.9,119.7,204,1002,90,144
146,99.3,820.3,119.8,204,1000,90,144
147,99.8,824.5,119.8,204,1000,90,144
148,100.6,830.8,120.5,200,988,90,144
149,101.3,836.9,120.5,200,988,90,144
150,101.8,841.1,120.9,198,981,89,144
151,102.6,847.4,120.9,198,981,89,145
152,103.3,853.7,120.6,200,986,90,145
153,103.8,857.9,120.6,200,986,90,145
154,104.6,864.1,119.9,203,998,91,145
155,105.3,870.4,119.9,203,998,91,145
156,105.8,874.6,120.0,203,997,90,146
157,106.5,880.8,120.0,203,997,90,146
158,107.3,887.3,119.5,205,1005,91,146
159,107.8,891.6,119.5,205,1005,91,146
160,108.6,898.1,116.4,222,1063,93,147
161,109.1,902.4,116.4,222,1063,93,147
162,109.8,908.8,116.6,221,1059,93,147
163,110.6,915.2,116.6,221,1059,93,147
164,111.1,919.4,118.0,213,1033,91,147
165,111.8,925.7,118.0,213,1033,91,148
166,112.6,931.9,119.6,205,1004,90,148
167,113.1,936.1,119.6,205,1004,90,148
168,113.8,942.4,119.9,203,998,90,148
169,114.5,948.6,119.9,203,998,90,148
170,115.1,952.9,119.6,205,1004,90,148
171,115.8,959.1,119.6,205,1004,90,149
172,116.6,965.4,120.2,202,993,90,149
173,117.1,969.6,120.2,202,993,90,149
174,117.8,975.9,119.7,204,1002,90,149
175,118.6,982.3,119.7,204,1002,90,150
176,119.1,986.6,118.9,208,1016,92,150
177,119.8,993.0,118.9,208,1016,92,150
178,120.3,997.3,117.0,219,1052,92,150
179,121.1,1003.7,117.0,219,1052,92,150
180,121.8,1009.9,118.0,213,1033,91,150
181,122.3,1014.1,118.0,213,1033,91,150
182,123.1,1020.4,119.8,204,1000,90,150
183,123.8,1026.7,119.8,204,1000,90,150
184,124.3,1030.9,120.0,203,997,90,150
185,125.0,1037.0,120.0,203,997,90,150
186,125.8,1043.5,119.3,206,1009,90,150
187,126.3,1047.7,119.3,206,1009,90,150
188,127.1,1054.0,119.5,205,1005,90,150
189,127.8,1060.2,119.5,205,1005,90,150
190,128.3,1064.3,120.8,199,983,89,150
191,129.1,1070.6,120.8,199,983,89,150
192,129.8,1077.0,119.4,206,1007,91,150
193,130.3,1081.2,119.4,206,1007,91,150
194,131.1,1087.5,119.1,207,1013,90,150
195,131.8,1093.7,119.1,207,1013,90,150
196,132.3,1097.8,120.8,199,983,89,150
197,133.0,1104.0,120.8,199,983,89,150
198,133.8,1110.4,120.8,199,983,90,150
199,134.3,1114.4,120.8,199,983,90,150
200,135.0,1120.6,120.5,200,988,90,150
201,135.8,1127.0,120.5,200,988,90,150
202,136.5,1133.0,120.7,199,985,89,150
203,137.0,1137.2,120.7,199,985,89,150
204,137.8,1143.6,120.6,200,986,90,150
205,138.5,1149.8,119.9,203,998,90,150
206,139.1,1154.1,119.9,203,998,90,150
207,139.8,1160.5,119.9,203,998,90,150
208,140.3,1164.6,119.2,207,1011,90,150
209,141.0,1170.8,119.2,207,1011,90,150
210,141.8,1177.2,119.7,204,1002,90,150
211,142.3,1181.4,119.7,204,1002,90,150
212,143.0,1187.5,119.7,204,1002,90,150
213,143.8,1194.1,119.7,204,1002,90,150
214,144.3,1198.4,118.7,209,1020,91,150
215,145.0,1204.5,118.7,209,1020,91,150
216,145.8,1210.9,118.7,209,1020,90,150
217,146.3,1215.1,118.7,209,1020,90,150
218,147.0,1221.4,119.4,206,1007,91,150
219,147.8,1227.8,119.4,206,1007,91,150
220,148.3,1232.0,119.8,204,1000,90,150
221,149.1,1238.1,119.8,204,1000,90,150
222,149.8,1244.4,120.1,202,995,90,151
223,150.3,1248.6,120.1,202,995,90,151
224,151.0,1254.7,120.6,200,986,90,151
225,151.8,1261.1,120.6,200,986,90,151
226,152.3,1265.4,119.6,205,1004,91,151
227,153.0,1271.6,119.6,205,1004,91,151
228,153.8,1277.9,119.6,205,1004,89,151
229,154.3,1281.9,119.6,205,1004,89,151
230,155.0,1288.1,121.6,195,969,88,151
231,155.8,1294.4,121.6,195,969,88,151
232,156.3,1298.6,121.4,196,973,89,151
233,157.1,1304.8,121.4,196,973,89,151
234,157.8,1311.1,119.5,205,1005,90,151
235,158.3,1315.3,119.5,205,1005,90,151
236,159.0,1321.4,120.0,203,997,90,151
237,159.8,1327.8,120.0,203,997,90,151
238,160.3,1332.0,120.0,203,997,89,151
239,161.0,1338.2,120.0,203,997,89,151
240,161.8,1344.5,120.8,199,983,89,151
241,162.5,1350.6,120.8,199,983,89,151
242,163.0,1354.8,120.8,199,983,89,151
243,163.8,1361.1,120.8,199,983,89,151
244,164.5,1367.2,120.7,199,985,89,151
245,165.0,1371.3,120.7,199,985,89,151
246,165.8,1377.7,121.1,197,978,89,151
247,166.5,1383.7,121.1,197,978,89,151
248,167.0,1387.9,121.7,194,968,89,151
249,167.8,1394.2,121.7,194,968,89,151
250,168.5,1400.2,121.1,197,978,88,151
251,169.0,1404.4,121.1,197,978,88,151
252,169.8,1410.8,121.4,196,973,91,152
253,170.5,1417.1,121.4,196,973,91,152
254,171.0,1421.4,118.1,212,1031,91,152
255,171.8,1427.9,118.1,212,1031,91,152
256,172.5,1434.0,118.3,211,1027,90,152
257,173.0,1438.1,118.3,211,1027,90,152
258,173.8,1444.5,120.8,199,983,89,153
259,174.5,1450.7,120.8,199,983,89,153
260,175.0,1454.8,120.4,201,990,90,153
261,175.8,1461.1,120.4,201,990,90,153
262,176.6,1467.2,121.4,196,973,88,153
263,177.3,1473.3,123.2,187,944,88,153
264,177.8,1477.4,123.2,187,944,88,154
265,178.5,1483.5,123.2,187,944,88,154
266,179.3,1489.6,123.0,188,947,87,154
267,180.0,1495.5,123.0,188,947,87,154
268,180.5,1499.6,123.6,185,937,87,154
269,181.3,1505.9,123.6,185,937,87,154
270,182.0,1511.8,123.6,185,937,87,154
271,182.8,1518.0,123.7,185,936,87,154
272,183.3,1522.0,123.7,185,936,87,154
273,184.0,1528.0,123.7,185,936,87,154
274,184.8,1534.2,124.1,183,930,86,154
275,185.5,1540.2,124.1,183,930,86,154
276,186.0,1544.2,123.7,185,936,87,154
277,186.8,1550.5,123.7,185,936,87,154
278,187.5,1556.4,123.1,188,945,88,154
279,188.3,1562.7,123.1,188,945,88,154
280,188.8,1566.8,123.1,188,945,88,153
281,189.5,1572.8,123.1,188,945,88,153
282,190.3,1579.1,122.5,190,955,88,153
283,190.8,1583.2,122.5,190,955,88,153
284,191.5,1589.1,123.3,187,942,88,153
285,192.3,1595.4,123.3,187,942,88,153
286,193.0,1601.3,123.4,186,941,87,153
287,193.5,1605.3,123.4,186,941,87,153
288,194.3,1611.5,124.0,184,931,87,153
289,195.0,1617.5,124.0,184,931,87,153
290,195.8,1623.9,122.6,190,953,89,152
291,196.3,1628.0,122.6,190,953,89,152
292,197.0,1634.1,121.6,195,969,89,152
293,197.8,1640.3,121.6,195,969,89,152
294,198.3,1644.4,122.4,191,956,88,152
295,199.0,1650.6,122.4,191,956,88,152
296,199.8,1656.8,121.6,195,969,88,152
297,200.5,1662.9,121.6,195,969,88,152
298,201.0,1667.1,121.5,195,971,89,152
299,201.8,1673.3,121.5,195,971,89,152
300,202.5,1679.4,121.9,193,964,88,152
301,203.0,1683.4,121.9,193,964,88,152
302,203.8,1689.7,122.4,191,956,88,152
303,204.5,1695.9,122.4,191,956,88,152
304,205.0,1700.1,120.7,199,985,90,152
305,205.8,1706.3,120.7,199,985,90,152
306,206.5,1712.5,121.1,197,978,89,152
307,207.3,1718.8,121.5,195,971,88,152
308,207.8,1722.8,121.5,195,971,88,152
309,208.5,1729.0,121.5,195,971,88,152
310,209.3,1735.3,122.0,193,963,88,152
311,209.8,1739.3,122.0,193,963,88,152
312,210.5,1745.4,122.0,193,963,88,152
313,211.3,1751.5,122.0,193,963,88,152
314,212.0,1757.6,123.0,188,947,88,152
315,212.5,1761.8,123.0,188,947,88,152
316,213.3,1768.0,122.2,192,960,88,152
317,214.0,1774.1,122.2,192,960,88,152
318,214.5,1778.1,122.2,192,960,89,152
319,215.3,1784.4,122.2,192,960,89,152
320,216.0,1790.5,122.2,192,960,88,152
321,216.8,1796.7,122.2,192,960,88,152
322,217.3,1800.8,122.5,190,955,89,152
323,218.0,1806.9,122.5,190,955,89,152
324,218.8,1813.2,121.3,196,974,89,152
325,219.3,1817.4,121.3,196,974,89,152
326,220.0,1823.4,121.5,195,971,89,152
327,220.8,1829.7,121.5,195,971,89,152
328,221.5,1835.9,121.6,195,969,89,153
329,222.0,1839.9,121.6,195,969,89,153
330,222.8,1846.3,121.5,195,971,89,153
331,223.5,1852.4,121.5,195,971,89,153
332,224.0,1856.6,121.2,197,976,89,153
333,224.8,1863.0,121.2,197,976,89,153
334,225.5,1869.0,120.6,200,986,90,153
335,226.0,1873.2,120.6,200,986,90,153
336,226.8,1879.6,120.7,199,985,89,153
337,227.5,1885.7,120.7,199,985,89,153
338,228.0,1889.8,120.6,200,986,89,153
339,228.8,1896.2,120.6,200,986,89,153
340,229.5,1902.2,121.4,196,973,89,153
341,230.3,1908.4,122.8,189,950,87,153
342,230.8,1912.4,122.8,189,950,87,154
343,231.5,1918.5,122.8,189,950,87,154
344,232.3,1924.6,123.8,184,934,87,154
345,233.0,1930.7,122.9,189,948,89,154
346,233.5,1934.8,122.9,189,948,89,154
347,234.3,1940.9,122.9,189,948,89,154
348,235.0,1947.0,123.7,185,936,88,154
349,235.8,1953.2,122.8,189,950,88,155
350,236.3,1957.2,122.8,189,950,88,155
351,237.0,1963.2,122.8,189,950,88,155
352,237.8,1969.4,124.0,184,931,87,155
353,238.5,1975.3,123.8,184,934,88,155
354,239.0,1979.4,123.8,184,934,88,155
355,239.8,1985.6,123.8,184,934,88,155
356,240.5,1991.7,122.5,190,955,89,155
357,241.0,1995.8,122.5,190,955,89,155
358,241.8,2002.0,122.9,189,948,87,155
359,242.5,2007.9,122.9,189,948,87,155
360,243.3,2014.2,123.7,185,936,88,155
361,243.8,2018.3,123.7,185,936,88,155
362,244.5,2024.3,122.4,191,956,88,155
363,245.3,2030.5,122.4,191,956,88,155
364,246.0,2036.5,123.3,187,942,88,155
365,246.5,2040.6,123.3,187,942,88,155
366,247.3,2046.8,123.7,185,936,88,155
367,248.0,2052.8,123.7,185,936,88,155
368,248.8,2059.1,123.3,187,942,88,155
369,249.3,2063.1,123.3,187,942,88,155
370,250.0,2069.2,122.4,191,956,88,155
371,250.8,2075.3,122.4,191,956,88,155
372,251.5,2081.3,123.3,187,942,87,155
373,252.0,2085.3,123.3,187,942,87,155
374,252.8,2091.5,124.4,182,925,87,155
375,253.5,2097.4,124.4,182,925,87,155
376,254.3,2103.7,123.9,184,933,88,155
377,254.8,2107.8,123.9,184,933,88,155
378,255.5,2113.8,122.5,190,955,89,155
379,256.3,2120.0,122.5,190,955,89,155
380,257.0,2126.0,123.4,186,941,87,155
381,257.5,2130.0,123.4,186,941,87,155
382,258.3,2136.1,124.7,180,921,86,155
383,259.0,2141.9,124.7,180,921,86,154
384,259.8,2148.1,125.9,175,903,86,154
385,260.3,2152.0,125.9,175,903,86,154
386,261.0,2158.0,125.8,176,905,86,154
387,261.8,2164.1,125.8,176,905,86,154
388,262.5,2170.2,123.4,186,941,88,154
389,263.0,2174.2,123.4,186,941,88,154
390,263.8,2180.5,123.0,188,947,89,154
391,264.5,2186.5,123.0,188,947,89,154
392,265.3,2192.8,122.7,189,952,88,154
393,265.8,2196.9,122.7,189,952,88,154
394,266.5,2202.9,122.6,190,953,88,154
395,267.3,2209.1,122.6,190,953,88,154
396,268.0,2215.1,123.2,187,944,87,154
397,268.5,2219.2,123.2,187,944,87,154
398,269.3,2225.4,123.1,188,945,87,154
399,270.0,2231.4,123.1,188,945,87,154
400,270.8,2237.6,123.4,186,941,88,154
401,271.3,2241.6,123.4,186,941,88,154
402,272.0,2247.7,123.2,187,944,88,154
403,272.8,2253.9,123.2,187,944,88,153
404,273.3,2258.0,122.5,190,955,88,153
405,274.0,2264.1,122.5,190,955,88,153
406,274.8,2270.3,122.3,191,958,88,153
407,275.5,2276.5,121.4,196,973,89,153
408,276.0,2280.7,121.4,196,973,89,153
409,276.8,2286.9,121.4,196,973,89,153
410,277.5,2293.0,121.2,197,976,89,153
411,278.0,2297.2,121.2,197,976,89,153
412,278.8,2303.5,121.6,195,969,88,153
413,279.5,2309.5,121.6,195,969,88,153
414,280.0,2313.7,122.0,193,963,88,153
415,280.8,2320.1,122.0,193,963,88,153
