Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.7,6.0,0.0,,,,97
2,2.7,12.2,0.0,,,47,97
3,3.4,18.2,167.4,75,556,65,97
4,4.2,25.0,167.4,75,556,65,97
5,4.9,32.6,115.4,228,1083,89,97
6,5.4,37.8,115.4,228,1083,89,97
7,6.2,45.9,97.4,379,1603,96,97
8,6.7,51.4,97.4,379,1603,96,97
9,7.2,56.9,92.5,442,1821,100,97
10,7.9,65.5,92.5,442,1821,100,97
11,8.4,71.3,88.5,505,2037,104,97
12,8.9,77.2,88.5,505,2037,104,97
13,9.4,82.9,86.9,533,2135,106,97
14,10.2,91.8,86.9,533,2135,106,97
15,10.7,97.7,85.2,566,2247,108,97
16,11.2,103.6,85.2,566,2247,108,97
17,11.7,109.5,84.8,574,2275,108,97
18,12.4,118.4,85.2,566,2247,108,97
19,12.9,124.3,85.2,566,2247,108,97
20,13.4,130.2,85.2,566,2247,108,97
21,13.9,136.0,85.6,558,2220,106,99
22,14.7,144.6,85.6,558,2220,106,99
23,15.2,150.2,87.1,530,2122,105,101
24,15.7,156.0,87.1,530,2122,105,101
25,16.4,164.8,87.5,522,2098,105,103
26,16.9,170.5,87.5,522,2098,105,106
27,17.4,176.1,87.4,524,2104,105,106
28,17.9,181.9,87.4,524,2104,105,108
29,18.7,190.3,88.4,507,2043,103,110
30,19.2,195.7,88.4,507,2043,103,110
31,19.7,201.4,90.1,479,1946,101,113
32,20.5,210.1,90.1,479,1946,101,113
33,21.0,215.8,89.1,495,2002,104,115
34,21.5,221.5,89.1,495,2002,104,115
35,22.2,230.0,88.0,514,2067,104,117
36,22.7,235.6,88.0,514,2067,104,117
37,23.2,241.2,88.9,498,2014,101,119
38,23.9,249.7,88.9,498,2014,101,121
39,24.5,255.5,88.8,500,2020,103,121
40,25.0,261.1,88.8,500,2020,103,123
41,25.7,269.8,88.5,505,2037,104,125
42,26.2,275.7,88.5,505,2037,104,125
43,26.7,281.4,86.7,537,2148,105,127
44,27.2,287.2,86.7,537,2148,105,127
45,28.0,295.9,86.7,537,2148,106,129
46,28.5,301.7,86.7,537,2148,106,129
47,29.0,307.5,86.6,539,2154,105,130
48,29.7,316.1,87.6,521,2091,104,132
49,30.2,321.7,87.6,521,2091,104,132
50,30.7,327.5,87.6,521,2091,104,132
51,31.2,333.2,88.1,512,2061,104,132
52,32.0,341.9,88.1,512,2061,104,135
53,32.5,347.6,87.1,530,2122,106,135
54,33.0,353.4,87.1,530,2122,106,136
55,33.7,362.0,87.1,530,2122,105,136
