Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,2.1,5.1,0.0,,,,80
2,3.1,9.5,0.0,,,41,80
3,4.1,14.8,243.9,24,383,55,80
4,5.2,20.6,243.9,24,383,55,80
5,5.9,25.3,179.2,61,509,70,80
6,6.7,30.5,179.2,61,509,70,80
7,7.4,35.8,150.7,102,651,79,81
8,8.2,41.4,150.7,102,651,79,81
9,8.9,47.0,137.8,134,760,84,81
10,9.7,52.5,137.8,134,760,84,82
11,10.4,58.2,134.4,144,796,84,82
12,10.9,62.0,134.4,144,796,84,82
13,11.7,67.7,133.5,147,806,86,83
14,12.4,73.4,133.5,147,806,86,84
15,13.2,79.2,131.4,154,830,87,85
16,13.7,83.1,131.4,154,830,87,85
17,14.4,89.0,129.5,161,854,88,86
18,15.2,94.9,127.2,170,885,90,86
19,15.7,98.9,127.2,170,885,90,86
20,16.4,104.8,127.2,170,885,90,88
21,17.2,110.9,125.7,176,906,91,89
22,17.7,114.9,125.7,176,906,91,89
23,18.4,121.0,124.5,181,924,91,89
24,18.9,125.1,124.5,181,924,91,89
25,19.7,131.2,123.4,186,941,92,89
26,20.4,137.3,123.3,187,942,92,91
27,20.9,141.3,123.3,187,942,92,92
28,21.7,147.5,123.3,187,942,92,92
29,22.2,151.5,123.2,187,944,93,93
30,22.9,157.7,123.2,187,944,93,94
31,23.4,161.9,122.5,190,955,94,94
32,24.2,168.0,122.5,190,955,94,94
33,24.9,174.2,121.8,194,966,94,94
34,25.4,178.3,121.8,194,966,94,95
35,26.2,184.5,122.3,191,958,94,96
36,26.7,188.7,122.3,191,958,94,96
37,27.4,195.0,120.4,201,990,96,97
38,27.9,199.1,120.4,201,990,96,97
39,28.7,205.4,119.5,205,1005,95,98
40,29.2,209.6,119.5,205,1005,95,98
41,29.9,215.9,120.2,202,993,95,99
42,30.4,219.9,120.2,202,993,95,99
43,31.2,226.2,121.4,196,973,93,100
44,31.9,232.3,121.9,193,964,94,101
45,32.4,236.5,121.9,193,964,94,101
46,33.2,242.7,120.6,200,986,94,101
47,33.7,247.0,120.6,200,986,94,101
48,34.4,253.2,119.4,206,1007,94,102
49,34.9,257.4,119.4,206,1007,94,102
50,35.7,263.6,119.4,206,1007,94,103
51,36.2,267.9,120.8,199,983,95,104
52,36.9,274.2,120.8,199,983,95,104
53,37.4,278.4,118.7,209,1020,96,105
54,38.2,284.8,118.7,209,1020,96,106
55,38.7,289.1,118.2,212,1029,96,106
56,39.4,295.2,118.2,212,1029,96,106
57,39.9,299.4,119.8,204,1000,94,107
58,40.7,305.6,119.8,204,1000,94,107
59,41.2,309.7,121.8,194,966,93,108
60,41.9,316.0,121.8,194,966,93,109
61,42.4,320.1,120.8,199,983,94,109
62,43.2,326.3,120.8,199,983,94,109
63,43.9,332.4,121.5,195,971,93,109
64,44.4,336.5,121.5,195,971,93,110
65,45.2,342.6,123.0,188,947,92,110
66,45.7,346.7,123.0,188,947,92,110
67,46.4,352.7,123.3,187,942,92,111
68,47.2,358.8,124.4,182,925,91,112
69,47.7,362.8,124.4,182,925,91,112
70,48.4,368.8,124.4,182,925,91,112
71,48.9,372.8,124.8,180,919,91,112
72,49.7,379.0,124.8,180,919,91,113
73,50.4,385.1,123.9,184,933,92,113
74,50.9,389.1,123.9,184,933,92,113
75,51.7,395.3,123.4,186,941,92,113
76,52.2,399.3,123.4,186,941,92,113
77,52.9,405.5,122.6,190,953,93,113
78,53.7,411.5,123.4,186,941,92,114
79,54.2,415.6,123.4,186,941,92,114
80,54.9,421.7,123.4,186,941,92,114
81,55.4,425.7,124.0,184,931,92,114
82,56.2,431.8,124.0,184,931,92,114
