Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,133.7,4.8,0.0,,,47,
2,134.7,10.2,170.7,70,542,55,
3,135.7,16.2,175.7,65,522,70,
4,136.4,21.1,175.7,65,522,70,
5,137.2,26.4,175.7,65,522,70,
6,137.9,31.9,146.9,110,679,80,
7,138.7,37.7,133.8,146,802,85,
8,139.2,41.6,133.8,146,802,85,
9,139.9,47.4,133.8,146,802,85,
10,140.7,53.3,128.7,164,865,87,
11,141.4,59.0,128.7,164,865,87,
12,141.9,63.0,128.2,166,871,87,
13,142.7,68.9,128.2,166,871,87,
14,143.4,74.6,128.9,163,862,86,
15,144.2,80.6,128.9,163,862,86,
16,144.9,86.3,129.4,162,855,86,
17,145.4,90.1,129.4,162,855,86,
18,146.2,96.0,129.8,160,850,86,
19,146.9,101.8,129.8,160,850,86,
20,147.7,107.7,128.9,163,862,87,
21,148.2,111.6,128.9,163,862,87,
22,148.9,117.6,127.7,168,878,87,
23,149.7,123.6,127.7,168,878,87,84
24,150.2,127.6,126.2,174,899,88,84
25,150.9,133.5,126.2,174,899,88,85
26,151.7,139.5,125.8,176,905,89,86
27,152.2,143.6,125.8,176,905,89,86
28,152.9,149.6,124.7,180,921,90,88
29,153.7,155.7,124.7,180,921,90,91
30,154.2,159.7,124.5,181,924,89,91
31,154.9,165.7,124.5,181,924,89,93
32,155.7,172.0,124.1,183,930,90,96
33,156.2,176.0,124.1,183,930,90,96
34,156.9,181.9,123.7,185,936,90,99
35,157.7,188.1,123.7,185,936,90,102
36,158.2,192.1,123.7,185,936,90,104
37,158.9,198.1,123.7,185,936,90,104
38,159.7,204.2,124.6,181,922,90,106
39,160.2,208.4,124.6,181,922,90,106
40,160.9,214.3,123.1,188,945,91,108
41,161.7,220.5,123.1,188,945,91,110
42,162.2,224.4,124.2,183,928,89,110
43,162.9,230.4,124.2,183,928,89,111
44,163.7,236.4,125.9,175,903,89,112
45,164.4,242.4,125.9,175,903,90,114
46,164.9,246.4,125.9,175,903,90,114
47,165.7,252.6,125.9,175,903,90,115
48,166.2,256.7,123.0,188,947,91,115
49,166.9,262.9,123.0,188,947,91,116
50,167.4,267.1,120.4,201,990,94,117
51,168.2,273.7,120.4,201,990,94,117
52,168.9,279.9,117.6,215,1040,95,118
53,169.4,284.2,117.6,215,1040,95,119
54,170.2,290.6,118.3,211,1027,94,119
55,170.7,294.8,118.3,211,1027,94,120
56,171.4,301.1,118.9,208,1016,94,121
57,171.9,305.3,118.9,208,1016,94,121
58,172.7,311.8,118.9,208,1016,94,122
59,173.2,316.0,118.9,208,1016,94,122
60,173.9,322.3,118.4,211,1025,95,123
61,174.4,326.6,118.4,211,1025,95,125
