endWeek,session,ordering,exercise,modality,SetAdjust
9,Push1,1,Incline,9supp,
9,Push1,2,bandbell bench,9hyp,
9,Legs1,2,SSB Pause,9str,-1
9,Legs1,3,SSB Split Squat,9supp,-1
9,Pull1,1,Trap,9str,-3
9,Pull1,2,seal row,9hyp,1
9,Push2,1,tsunami bench,9supp,
9,Legs2,1,tsunami front,9str,
9,Legs2,2,trad sldl,9supp,
9,Pull2,1,pendlay row,9supp,1
9,Pull2,2,meadows,9hyp,1
