endWeek,session,ordering,exercise,modality,SetAdjust
9,Push1,1,bench,wendDouble,
9,Push1,2,board bench,9str,
9,Push1,3,BandBell Incline,Grow,
9,Legs1,1,Squat,wendDouble,
9,Legs1,2,Tsunami Back,Build,
9,Legs1,3,Tsunami Front,Build,
9,Pull1,1,Deadlift ,wendDouble,
9,Pull1,2,Trap,3Back,
9,Pull1,3,Meadows,9hyp,1
9,Push2,2,Bandbell press,Build,1
9,Push2,1,larsen,9str,
9,Legs2,1,PauseSSB,Tech,
9,Legs2,2,goodMorning,9hyp,
9,Pull2,1,Pendlay row,9hyp,1
9,Pull2,4,Seal,Grow,1
